#Base	Mean
1	32.761974747474746
2	34.00416666666667
3	32.45039393939394
4	32.47822222222222
5	33.604808080808084
6	37.96703535353535
7	38.53205555555556
8	38.92030303030303
9	38.3884797979798
10	38.248954545454545
11	38.67205050505051
12	38.83017676767677
13	39.01543434343434
14	38.97994444444444
15	39.07668686868687
16	39.02139393939394
17	39.037025252525254
18	38.82970202020202
19	38.67986868686869
20	38.654065656565656
21	39.09740909090909
22	38.93199494949495
23	38.957439393939396
24	39.16299494949495
25	39.27140404040404
26	38.49117676767677
27	39.00814141414141
28	39.16544444444445
29	38.73656060606061
30	38.49179292929293
31	38.22381818181818
32	38.96979797979798
33	38.982823232323234
34	39.041015151515154
35	39.07510606060606
36	39.157176767676766
37	39.07761111111111
38	38.77503535353535
39	38.62214141414142
40	38.919060606060604
41	38.45073232323232
42	38.95375757575758
43	38.944641414141415
44	38.679722222222225
45	38.60440404040404
46	39.02029797979798
47	38.93266161616162
48	39.05871717171717
49	38.97313131313131
50	38.56075757575758
51	38.510348484848485
52	38.42379292929293
53	38.65310606060606
54	38.909616161616164
55	38.87685353535353
56	38.41765151515151
57	38.79855050505051
58	38.55648484848485
59	38.675858585858585
60	38.863565656565655
61	38.876282828282825
62	38.83387878787879
63	38.73812626262626
64	38.87592424242424
65	38.58878282828283
66	38.65880808080808
67	37.87745454545455
68	38.07223232323232
69	38.1009898989899
70	38.578878787878786
71	38.57430808080808
72	38.15679797979798
73	38.75637878787879
74	38.74764141414141
75	38.63892929292929
76	38.794939393939394
77	38.474636363636364
78	38.26710101010101
79	38.40620707070707
80	38.499656565656565
81	38.69380303030303
82	38.404131313131316
83	38.6374797979798
84	38.88980808080808
85	38.28173737373737
86	38.07205555555556
87	38.226343434343434
88	38.346474747474744
89	38.65078282828283
90	38.62964646464646
91	38.9064797979798
92	38.933025252525255
93	38.399661616161616
94	38.35628282828283
95	37.9619595959596
96	38.51673737373737
97	38.54475252525253
98	38.379333333333335
99	38.69844949494949
100	38.242873737373735
101	37.91579797979798
102	36.12427777777778
103	37.04951515151515
104	37.630449494949495
105	38.420737373737374
106	38.57821212121212
107	38.65091919191919
108	38.537868686868684
109	38.30459595959596
110	38.722848484848484
111	38.662646464646464
112	38.437873737373735
113	38.249368686868685
114	38.12337373737374
115	38.18643434343434
116	38.05741414141414
117	37.903297979797976
118	37.936949494949495
119	37.98980303030303
120	38.05003535353536
121	38.068075757575755
122	37.9834696969697
123	38.02540404040404
124	38.027964646464646
125	37.898267676767674
126	37.96315656565657
127	37.874383838383835
128	37.832439393939396
129	37.931717171717175
130	37.7580101010101
131	37.74329797979798
132	37.81666666666667
133	37.803909090909094
134	37.82989393939394
135	37.753661616161615
136	37.72830303030303
137	37.653429292929296
138	37.780631313131316
139	37.877065656565655
140	37.8960505050505
141	37.866949494949495
142	37.68156060606061
143	37.83392929292929
144	37.72451515151515
145	37.68433838383839
146	37.870570707070705
147	37.76859595959596
148	37.735040404040404
149	37.8779494949495
150	37.77339393939394
151	37.76748484848485
152	37.604
153	37.69171717171717
154	37.81450505050505
155	37.88229292929293
156	37.87930303030303
157	37.8669595959596
158	37.90421717171717
159	37.85245454545455
160	37.807929292929295
161	37.86772727272727
162	37.81363636363636
163	37.83970707070707
164	37.76718686868687
165	37.734833333333334
166	37.48459090909091
167	37.24991919191919
168	37.36732323232323
169	37.460388888888886
170	37.670131313131314
171	37.53088888888889
172	37.357535353535354
173	37.136590909090906
174	37.033722222222224
175	37.32877272727273
176	37.37311616161616
177	37.461030303030306
178	37.10457575757576
179	37.24007575757576
180	37.2195101010101
181	37.270449494949496
182	37.146454545454546
183	37.09210606060606
184	37.155353535353534
185	37.31385858585858
186	36.86456060606061
187	36.615929292929295
188	36.722136363636366
189	36.87731313131313
190	36.86127777777778
191	36.75060101010101
192	36.89518686868687
193	36.93212626262626
194	36.7565
195	36.65928787878788
196	36.680070707070705
