"","CCA1","CCA2"
"CK1",-0.296533190202043,-1.78521448557418
"CK2",0.710703635454501,0.672534609030153
"CK3",-0.21214999652575,0.278531252317397
"JXBR161",0.606179219196548,-0.161899360536814
"JXBR162",0.538056593298339,0.465820131808687
"JXBR163",1.30982240832204,1.12994597988692
"RW371",-0.177936151235806,-1.02721161051851
"RW372",-0.406220238437556,-1.18416987313879
"RW373",-2.94215088326325,1.74986887829697
"R37J161",0.149138630338531,-0.640601164004955
"R37J162",-0.528339276045722,-0.920499710087806
"R37J163",0.81981946568528,0.878541446086975
