"","RDA1","RDA2"
"CK1",-0.906343194602811,4.84040897713041
"CK2",1.11918696018189,0.264814312738634
"CK3",0.668325547983761,0.222741990475089
"JXBR161",-0.453348092792773,0.25950765867274
"JXBR162",0.710718779355986,-0.192107226150339
"JXBR163",1.16735634876677,-0.739961338567507
"RW371",0.705890659827511,-0.421598890424065
"RW372",-0.359670069392726,-0.0296342841083228
"RW373",2.17012000746906,-1.68779509576816
"R37J161",-0.641727331628281,0.680603897822813
"R37J162",-4.7856208734896,-2.12907041990686
"R37J163",0.605111258321211,-1.06790958191443
