per_sample	CK	JXBR16	RW37	R37J16
10	10	9.9	9.8	10	
10180	4488.4	4398	3862.9	4136.8	
20350	7237.5	7132.5	6312.8	6690.8	
30520	9534.6	9315.1	8289.3	8857.1	
40690	11502.3	11249.8	10075.6	10736.2	
50860	13263.8	13018.1	11703.9	12412.3	
61030	14920.5	14584.6	13183.5	13927.9	
71200	16416.2	16026.4	14569.3	15456	
81370	17855.7	17402.2	15836.2	16791.6	
91540	19222.1	18673.1	17103.1	18142.5	
101710	20430.1	19843.7	18272.7	19344.1	
