"","RDA1","RDA2"
"CK1",-0.417556935324248,1.49954247966111
"CK2",-0.62344620066631,4.54155144156274
"CK3",-1.02988937339123,1.08876162845488
"JXBR161",2.82665562173017,-0.813290887298543
"JXBR162",3.06742813998464,0.17438970182459
"JXBR163",2.84466212221153,-0.146984047944278
"RW371",-1.45092439849539,-1.53887982451742
"RW372",-1.10822552390444,-1.71368468737625
"RW373",-0.800275729928193,-1.24249536521825
"R37J161",-1.02798528620818,-0.314624316100272
"R37J162",-1.39187324232753,-0.6873156408883
"R37J163",-0.888569193680815,-0.846970482159998
