"","CCA1","CCA2"
"CK1",-0.808936076997667,-1.44552384349557
"CK2",0.939184041794941,0.300200949142942
"CK3",-0.159865788178147,0.658911020072521
"JXBR161",0.522857157747556,-0.739772393932745
"JXBR162",0.565388513746569,0.904705201439358
"JXBR163",1.57261968350941,0.567659018612861
"RW371",-0.273133491985716,-1.77740995163078
"RW372",-0.79440877014782,-0.995815605148755
"RW373",-2.38598606119816,2.35688889682093
"R37J161",0.0515420080185052,-0.201398293474098
"R37J162",-0.741817299910867,-0.261277603558956
"R37J163",1.06836960326853,0.399080041886192
