"","RDA1","RDA2"
"CK1",-1.44835287580735,2.3819794612179
"CK2",-0.081158052987641,1.26180553713599
"CK3",0.752515492314149,0.607811532876358
"JXBR161",0.398620765935738,0.628419581529841
"JXBR162",0.727172077996774,0.159077113799793
"JXBR163",1.10946910231471,0.536433153666801
"RW371",-0.680270097454725,-1.75971529341865
"RW372",-0.604235094190379,-0.992402170368341
"RW373",-1.62682101099792,-2.40987251725548
"R37J161",1.30260156774914,-0.992801936456153
"R37J162",-2.17772389165861,0.803533928451125
"R37J163",2.32818201678611,-0.224268391179185
