#Base	Mean
1	27.692717362834728
2	32.20949898349901
3	30.076730234356486
4	30.13861830699577
5	30.305548972897466
6	34.19086521072128
7	29.994599448719708
8	33.435374234506156
9	34.77045786198037
10	34.28660338999963
11	31.657146064332665
12	31.582748169674595
13	35.91127131222171
14	31.647554785038103
15	36.671614053905735
16	31.85490851491076
17	30.821819224964766
18	32.647679509086146
19	35.726979058832335
20	33.272010676378514
21	36.992129912568444
22	30.684173765543733
23	36.096711026853086
24	37.50309939259389
25	38.37273781757861
26	35.49480524339898
27	33.03028299886501
28	35.435224565648504
29	32.076617982713245
30	35.118625042094365
31	36.49016550881176
32	37.1241378450179
33	32.12911433453484
34	32.137707821445055
35	31.83128578021128
36	32.454756351572144
37	33.54429574566272
38	36.15143993913466
39	36.28857402995872
40	38.02357284508026
41	38.24666674981603
42	38.63863701560298
43	33.36147523604026
44	35.86645796175961
45	34.82473776768899
46	37.638836574079846
47	33.44814597702583
48	37.15681554560535
49	38.26652281826459
50	37.58688900806965
51	37.45616573331504
52	37.016688077628245
53	35.674956658393306
54	32.6683837010614
55	33.00910485550719
56	35.11596841987104
57	31.926013694700476
58	35.412225451189244
59	31.882759394838917
60	34.84034074609926
61	37.253726130935306
62	32.54008007283885
63	34.42827743617247
64	32.11656709530165
65	35.31013881786547
66	31.612407548299387
67	35.720755328834954
68	35.520311311223914
69	34.588323334622146
70	34.39052346682964
71	33.22379235940482
72	36.37061750876187
73	37.42678074759594
74	38.1035957943051
75	38.408982625940105
76	34.177045786198036
77	36.99385110443144
78	37.930516232834854
79	37.04602317372812
80	36.73196802075408
81	34.20620626863065
82	35.97287251955049
83	36.32671464385048
84	37.77049527919478
85	35.41881088092595
86	37.07842648140988
87	36.31803385010664
88	33.70101151202964
89	35.11877471095202
90	33.78669693303566
91	33.30145802412163
92	32.38900183344351
93	34.69239308030981
94	35.11170285742794
95	37.16458585379847
96	37.11378574903027
97	38.323122591266824
98	38.492423014081346
99	35.77774174638612
100	37.39803185452187
101	28.96156004839293
102	36.09232074036195
103	36.86554747620889
104	37.17848011275054
105	37.476632949599015
106	37.825473639572444
107	34.35313119722614
108	37.26632325978772
109	36.96152263117852
110	37.612856554872344
111	36.47892787208302
112	36.47592202252516
113	36.46000723399479
114	36.66461703481048
115	37.77933821420108
116	37.584768699252905
117	37.8607206555496
118	37.87651072003193
119	36.401673796724744
120	37.11270064981229
121	37.36249797323422
122	37.82789328610449
123	37.91265574915499
124	37.93833643064719
125	38.12105716103122
126	38.12284071491824
127	38.342878880476945
128	38.14375693777517
129	37.99867792509074
130	37.954637863726504
131	37.861169662122556
132	37.88540354465744
133	38.25032116442371
134	38.18746024420969
135	37.63111615550594
136	37.89645409531412
137	37.6700924205196
138	37.22612469910323
139	37.631340658792425
140	36.854447035933
141	35.951706848597475
142	37.404105915661596
143	37.713234468737916
144	37.75796051236639
145	37.55790313930429
146	37.44963019319755
147	36.93654040435536
148	37.18741035459047
149	36.58127642590768
150	37.34820459732841
151	37.01688763610512
152	37.613991543709545
153	37.5993239956596
154	37.30470084937077
155	37.242625690659416
