# Constructed from biom file
#OTU ID	CK	JXBR16	R37J16	RW37
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__	0.0250618333591	0.00740659733959	0.0172717012885	0.00801453559397
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales	0.000328489720204	0.000810251923727	0.000709850572467	0.000113559327866
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales	0.0180476116865	0.0296562145825	0.0259175217442	0.00545084773759
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales	0.000231875096615	3.97669655817e-05	7.17826421595e-05	6.88238350706e-06
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	0.14964316999	0.0806871731653	0.127087180019	0.501199255326
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreomycetidae_ord_Incertae_sedis	0.000418663368888	0.000482174457678	8.77343404172e-05	2.06471505212e-05
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Lulworthiales	6.44097490596e-05	0.0	1.19637736933e-05	1.37647670141e-05
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales	0.000933941361364	0.000457320104189	0.000701874723338	0.000337236791846
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Melanosporales	0.0	4.97087069771e-06	3.98792456442e-06	1.03235752606e-05
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales	0.000753594063998	4.47378362794e-05	0.000147553208884	0.00261530573268
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Ophiostomatales	7.72916988715e-05	1.49126120931e-05	9.57101895461e-05	3.44119175353e-06
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.0622262585665	0.0318235142067	0.0449638494638	0.0311668737117
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis	0.000792239913433	0.000462290974887	0.00220133435956	0.00129044690757
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetidae_ord_Incertae_sedis	0.00494022775287	0.00289801761677	0.00545149287956	0.00210256816141
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales	0.00109496573401	0.000144155250234	5.98188684663e-05	0.000488649229001
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales	0.00139125057969	0.00298252241863	0.00173873511009	0.00101515156729
k__Fungi;p__Basidiomycota;c__;o__	7.08507239656e-05	7.45630604657e-05	7.5770566724e-05	0.000399178243409
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__	0.0111364456124	0.00191875608932	0.00082151246027	0.000815562445586
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	0.0680295769568	0.0354423080747	0.0225557013364	0.0238233705097
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricomycetes_ord_Incertae_sedis	0.0	0.0	0.000442659626651	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales	1.93229247179e-05	0.0	0.0	6.88238350706e-06
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales	0.000309166795486	0.00561211301772	0.0306232727302	0.000774268144544
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales	0.0	9.94174139542e-06	0.000358913210798	2.75295340282e-05
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales	0.00603519348689	0.000899727596286	0.000570273212712	0.00362357491647
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales	0.00251842118823	0.0196498518681	0.000103686038675	0.0143325636534
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales	5.79687741537e-05	4.97087069771e-06	3.58913210798e-05	1.72059587676e-05
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hysterangiales	6.44097490596e-06	9.94174139542e-06	3.98792456442e-05	3.44119175353e-06
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Phallales	0.0	1.98834827908e-05	0.0	1.37647670141e-05
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales	0.00036713556964	0.000134213508838	0.000143565284319	9.63533690988e-05
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales	0.000135260473025	4.97087069771e-05	4.7855094773e-05	2.75295340282e-05
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	0.0269812438811	0.00959378044658	0.0122030491671	0.00175844898605
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales	0.0	2.98252241863e-05	7.97584912884e-06	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales	0.000779357963621	0.000720776251168	0.000295106417767	0.00704067832772
k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales	1.93229247179e-05	2.48543534886e-05	0.000159516982577	6.88238350706e-06
k__Fungi;p__Basidiomycota;c__Atractiellomycetes;o__Atractiellales	6.44097490596e-06	2.98252241863e-05	0.000255227172123	0.0
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis	0.0	0.0	2.79154719509e-05	0.0
k__Fungi;p__Basidiomycota;c__Dacrymycetes;o__	6.44097490596e-06	4.97087069771e-06	2.39275473865e-05	1.03235752606e-05
k__Fungi;p__Basidiomycota;c__Entorrhizomycetes;o__Entorrhizales	1.93229247179e-05	4.97087069771e-06	0.0	0.0
k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Ceraceosorales	0.0	0.0	2.39275473865e-05	0.0
k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiomycetidae_ord_Incertae_sedis	0.000405781419076	0.000203805698606	0.000255227172123	8.94709855917e-05
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales	6.44097490596e-06	1.98834827908e-05	3.19033965154e-05	6.88238350706e-06
