#Length	Count
384	3
398	8
443	12260
386	2
407	6
445	1383
376	1
437	31
463	1910
368	3
424	14
458	6503
400	6
451	279
454	137
395	11
468	2292
347	3
475	12
441	31426
397	5
413	13
434	19
349	3
378	6
374	4
442	16763
429	12
431	1
337	3
382	12
409	7
432	11
459	1253
340	1
371	4
389	1
346	1
435	138
427	5
401	12
333	2
339	1
418	2
471	10
361	2
465	12701
345	3
348	1
404	9
412	8
385	3
446	13007
420	4
344	1
364	1
388	2
355	1
479	9
426	36
367	7
448	841
483	6
357	1
428	18
455	1431
460	3844
457	1955
453	291
433	12
383	2
351	3
410	2
334	1
359	2
440	2508
430	18
377	3
447	1870
379	4
462	1340
414	4
477	42
423	562
415	7
452	401
394	1
480	5
438	111
467	11742
360	1
481	9
474	15
419	8
444	3068
422	22
476	49
406	15
417	2
396	6
482	4
393	1
449	580
405	1
365	1
370	2
470	23
469	138
402	10
375	1
416	5
338	1
380	3
403	6
466	27020
484	9
381	9
421	20
392	1
450	2099
373	12
387	1
464	5670
363	3
354	6
461	6879
399	3
473	4
436	69
390	8
425	6
472	6
356	1
456	1833
408	3
439	312
411	2
478	84
