"","CCA1","CCA2"
"CK1",-0.0444714772536596,1.08717081800912
"CK2",0.309143560637238,2.15531392100582
"CK3",-0.298866098612706,1.33287823944519
"JXBR161",-0.266528091991707,-0.547464537852972
"JXBR162",-0.240965377974137,-0.517720020521984
"JXBR163",-0.383517276034355,-1.16737287524086
"RW371",0.183966441144253,1.21658135819839
"RW372",-0.21571277480989,1.85823719833783
"RW373",4.59480942599199,-0.521487457004641
"R37J161",-0.204508724353875,-0.0253970205106154
"R37J162",-0.159031559494947,0.208953185367897
"R37J163",-0.379234261013139,-0.845142628502476
