"","RDA1","RDA2"
"CK1",-7.50803367250585,2.19807838459321
"CK2",-1.76959809831707,-1.87988095948292
"CK3",-0.969573776658062,-0.368989705313752
"JXBR161",0.408842416186509,-0.100140854637275
"JXBR162",0.849486414791893,0.0482685621297771
"JXBR163",0.16794210931674,-1.53007998964839
"RW371",0.733738772675194,1.57327349908028
"RW372",2.70507952638186,5.75257567373518
"RW373",0.507561094156927,-5.20576540936915
"R37J161",1.49613014342458,1.39040674688371
"R37J162",1.96232901786906,-1.24828068345587
"R37J163",1.41609605267821,-0.629465264514785
