"","CCA1","CCA2"
"CK1",-0.117848536864499,-1.55213660258898
"CK2",-0.494673338570557,0.917416570272725
"CK3",-0.446972058460042,0.300858255905593
"JXBR161",-0.381997102308713,0.291792393271225
"JXBR162",-0.261908264376619,0.484763378269835
"JXBR163",-0.712843530771989,1.09332339656073
"RW371",-0.150920751573983,-0.611329741910528
"RW372",-0.276050800281033,-2.45964133711751
"RW373",3.05063956344402,0.423353300595679
"R37J161",-0.102780612653289,-0.364155647111095
"R37J162",0.324862943144032,-0.850594862598909
"R37J163",-0.574699572200989,0.978730936559821
