"","RDA1","RDA2"
"CK1",-1.62054159936503,4.71418956972951
"CK2",-1.48929327135052,0.978449078632401
"CK3",-0.730281035092983,0.281127161013731
"JXBR161",0.224726520834552,0.431724776459484
"JXBR162",-0.307002384613081,-0.2601918152157
"JXBR163",-0.892962981658293,-0.392589628393703
"RW371",0.178422542928331,-2.79904645981431
"RW372",1.27679690482787,-3.26741948690101
"RW373",-2.4491429979562,-0.864274315063766
"R37J161",-0.0358687073513944,-0.00880760813328907
"R37J162",5.8024284846753,1.92845885183788
"R37J163",0.0427185241214515,-0.741620124151236
