OTU	Test.Statistic	P	FDR.P	Bonferroni.P	CK.mean	RW37.mean	JXBR16.mean	R37J16.mean
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Subgroup 9;f__	10.7349	0.0132	0.1888	1	0	0	1e-04	0
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup 10;f__TK85	10.7349	0.0132	0.1888	1	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae	10.7349	0.0132	0.1888	1	0	0	8e-04	0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Order II;f__Rhodothermaceae	10.7349	0.0132	0.1888	1	0	0	0	0
k__Bacteria;p__Chloroflexi;c__SAR202 clade;o__;f__	10.7349	0.0132	0.1888	1	0	0	2e-04	0
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__FD035	10.7349	0.0132	0.1888	1	0	0	2e-04	0
k__Bacteria;p__JL-ETNP-Z39;c__;o__;f__	10.7349	0.0132	0.1888	1	0	0	9e-04	0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Sh765B-TzT-35	10.7349	0.0132	0.1888	1	0	0	1e-04	0
k__Bacteria;p__Planctomycetes;c__Pla3 lineage;o__;f__	10.7349	0.0132	0.1888	1	0	0	2e-04	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__FFCH5858	10.7349	0.0132	0.1888	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__P-102	10.7349	0.0132	0.1888	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hot Creek 32;f__	10.7349	0.0132	0.1888	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Eel-36e1D6	10.7349	0.0132	0.1888	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__SAR324 clade(Marine group B);f__	10.7349	0.0132	0.1888	1	2e-04	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Subgroup 3;f__Unknown Family	10.3846	0.0156	0.1888	1	0.0407	0.0135	0.0066	0.016
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae	10.3846	0.0156	0.1888	1	0.0257	0.0623	0.0485	0.0448
k__Bacteria;p__Verrucomicrobia;c__OPB35 soil group;o__;f__	10.3846	0.0156	0.1888	1	0.0027	9e-04	0.0088	0.0015
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidales S24-7 group	10.1729	0.0172	0.1888	1	0	0	1e-04	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Catenulisporales;f__Actinospicaceae	10.1158	0.0176	0.1888	1	1e-04	2e-04	0	1e-04
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;Other	9.9744	0.0188	0.1888	1	2e-04	1e-04	2e-04	1e-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__DA111	9.9744	0.0188	0.1888	1	0.0042	0.003	7e-04	0.0027
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GR-WP33-30;f__	9.9744	0.0188	0.1888	1	0.003	0.0012	0.0066	0.0015
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae	9.9744	0.0188	0.1888	1	1e-04	0	5e-04	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Nevskiaceae	9.8038	0.0203	0.1888	1	6e-04	2e-04	0	1e-04
