OTU	Test.Statistic	P	FDR.P	Bonferroni.P	CK.mean	RW37.mean	JXBR16.mean	R37J16.mean
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Subgroup 9;f__;g__	10.7349	0.0132	0.206	1	0	0	1e-04	0
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup 10;f__TK85;g__	10.7349	0.0132	0.206	1	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Candidatus Limnoluna	10.7349	0.0132	0.206	1	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;g__Rubrobacter	10.7349	0.0132	0.206	1	0	0	8e-04	0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Rufibacter	10.7349	0.0132	0.206	1	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Order II;f__Rhodothermaceae;g__	10.7349	0.0132	0.206	1	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Saprospiraceae;g__Aureispira	10.7349	0.0132	0.206	1	0	0	1e-04	0
k__Bacteria;p__Chloroflexi;c__SAR202 clade;o__;f__;g__	10.7349	0.0132	0.206	1	0	0	2e-04	0
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales;f__Sphaerobacteraceae;g__Sphaerobacter	10.7349	0.0132	0.206	1	0	0	1e-04	0
k__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__	10.7349	0.0132	0.206	1	0	0	0	0
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__FD035;g__	10.7349	0.0132	0.206	1	0	0	2e-04	0
k__Bacteria;p__JL-ETNP-Z39;c__;o__;f__;g__	10.7349	0.0132	0.206	1	0	0	9e-04	0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Sh765B-TzT-35;g__	10.7349	0.0132	0.206	1	0	0	1e-04	0
k__Bacteria;p__Planctomycetes;c__Pla3 lineage;o__;f__;g__	10.7349	0.0132	0.206	1	0	0	2e-04	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__FFCH5858;g__	10.7349	0.0132	0.206	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__P-102;g__	10.7349	0.0132	0.206	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Limimonas	10.7349	0.0132	0.206	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus	10.7349	0.0132	0.206	1	0	0	2e-04	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Azohydromonas	10.7349	0.0132	0.206	1	0	0	1e-04	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia	10.7349	0.0132	0.206	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hot Creek 32;f__;g__	10.7349	0.0132	0.206	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;Other	10.7349	0.0132	0.206	1	1e-04	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bacteriovoracaceae;g__	10.7349	0.0132	0.206	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Nitrospinaceae;g__	10.7349	0.0132	0.206	1	0	0	3e-04	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Eel-36e1D6;g__	10.7349	0.0132	0.206	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__SAR324 clade(Marine group B);f__;g__	10.7349	0.0132	0.206	1	2e-04	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Simiduia	10.7349	0.0132	0.206	1	0	0	1e-04	0
