	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_13399_3.txt	13399	3	3893.90234375	3470.015625	3435.15165877	3887.1641791	3532.44897959	3067.11926606	3018.92857143	3738.2145749	475.052631579	4685.11445783	2933.07731959	2802.92105263
alpha_rarefaction_13399_4.txt	13399	4	4047.20295203	3393.09574468	2954.48117155	3474.52608696	3145.56329114	3632.0952381	3271.89204545	3639.5193133	482.942307692	4461.75935829	3017.11458333	2893.66666667
alpha_rarefaction_13399_5.txt	13399	5	4128.58964143	3203.92146597	3701.03278689	3819.58247423	3500.00769231	2868.8907563	3616.08571429	4039.20089286	505.875	4032.6039604	3154.50561798	3268.53658537
alpha_rarefaction_13399_6.txt	13399	6	3752.21484375	3417.32432432	3697.35294118	3538.85128205	3130.67283951	2773.7826087	3672.46242775	3297.49438202	469.885714286	4083.2974359	3170.12426036	3372.89051095
alpha_rarefaction_13399_7.txt	13399	7	3980.38976378	3315.44751381	4221.45263158	3696.31944444	2961.6875	2789.97826087	3845.05847953	3734.23651452	500.522727273	4114.02926829	3135.79532164	2971.89156627
alpha_rarefaction_13399_8.txt	13399	8	3836.94117647	3220.94029851	3394.17431193	3593.16113744	3100.31081081	2877.95762712	3241.36170213	3874.125	477.139534884	4085.37244898	3158.30681818	2934.04195804
alpha_rarefaction_13399_9.txt	13399	9	3772.1744186	3234.25888325	3342.02727273	3635.8957346	3752.86363636	3004.29032258	3318.01648352	3536.44680851	509.263157895	4162.38423645	2893.015625	3094.70469799
alpha_rarefaction_17862_0.txt	17862	0	4188.16	3550.5984252	3919.24521073	4013.16483516	3785.03333333	3283.55932203	3900.56485356	4106.29315961	549.12244898	4460.64285714	3485.12121212	3627.55555556
alpha_rarefaction_17862_1.txt	17862	1	4441.45962733	3408.00738007	4019.75581395	4492.4375	3751.03208556	3291.62804878	3688.76315789	4347.51465798	507.701754386	4448.2183908	3495.00431034	3454.87428571
alpha_rarefaction_17862_2.txt	17862	2	4442.34653465	3579.12977099	4117.96934866	3896.03731343	4058.85955056	3785.02097902	3678.6244898	3989.34722222	553.0	4663.06493506	3434.54054054	3311.58152174
alpha_rarefaction_17862_3.txt	17862	3	4305.17575758	3586.17021277	3886.16487455	3676.51960784	3770.88601036	3388.28846154	3646.35686275	4197.06369427	482.068965517	5028.52838428	3526.56	3552.35
alpha_rarefaction_17862_4.txt	17862	4	4057.7925072	3902.59322034	3948.42957746	4388.4214876	3850.4171123	3436.96078431	3804.95022624	4082.97106109	504.725490196	4249.63636364	3645.55947137	3441.16756757
alpha_rarefaction_17862_5.txt	17862	5	4375.88955224	3531.09960159	3824.67021277	4056.71153846	3979.82352941	3606.56953642	3541.104	3896.24840764	509.6	5000.93032787	3425.0	3590.62162162
alpha_rarefaction_17862_6.txt	17862	6	4369.74440895	3567.43703704	3868.13333333	4188.56420233	3434.43961353	3410.53947368	3847.28991597	3590.53521127	536.109090909	4970.44174757	3330.875	3230.16062176
alpha_rarefaction_17862_7.txt	17862	7	4512.29545455	3593.46511628	4340.52713178	4043.15769231	3830.08333333	3411.5617284	3680.06896552	3949.91961415	447.654545455	5074.35365854	3671.75784753	3701.1741573
alpha_rarefaction_17862_8.txt	17862	8	4165.33636364	3508.8490566	4101.78378378	4349.512	3965.37931034	3110.09467456	3672.11336032	4172.09698997	471.842105263	4895.61666667	3576.44680851	3175.66009852
alpha_rarefaction_17862_9.txt	17862	9	4311.28963415	3593.90234375	3809.90972222	4104.22619048	3679.48730964	3408.89285714	3712.40692641	4130.05960265	502.0	4895.76305221	3686.26190476	3687.55434783
alpha_rarefaction_22325_0.txt	22325	0	4892.93854749	4020.31861199	4440.35	5160.0989011	4046.74025974	3779.04020101	4315.01119403	4310.32065217	604.058823529	5026.1875	3666.74193548	3491.31836735
alpha_rarefaction_22325_1.txt	22325	1	4296.62944162	3879.41233766	4178.63636364	4614.51044776	3830.84081633	3829.88	4218.60854093	4438.73947368	603.113207547	5279.69085174	3561.27118644	4172.47297297
alpha_rarefaction_22325_2.txt	22325	2	4320.69230769	3965.38719512	4260.78996865	4530.43962848	4465.50490196	3699.48557692	4116.03071672	4528.88679245	610.666666667	5093.43333333	4042.3151751	3876.04424779
alpha_rarefaction_22325_3.txt	22325	3	4552.91346154	4236.22996516	4364.25471698	4241.48082596	4416.49056604	3560.35960591	3820.29109589	4273.31007752	493.882352941	5613.81786942	3636.22101449	3962.14285714
alpha_rarefaction_22325_4.txt	22325	4	4740.86898396	3867.48543689	4398.12861736	4320.6119403	4516.91363636	3810.64130435	3893.57	4342.44959128	495.333333333	5645.59328358	3816.65313653	3719.94166667
alpha_rarefaction_22325_5.txt	22325	5	4633.75718016	4078.65306122	4181.15895954	4461.56466877	4089.33333333	3433.4047619	4314.47169811	4214.23969072	524.677966102	5644.32068966	3927.29482072	4002.45945946
alpha_rarefaction_22325_6.txt	22325	6	4420.75057737	3930.11650485	4402.77531646	4368.31076923	4325.87142857	3838.45	4140.21189591	4297.75	612.0	5095.40983607	3562.65263158	3843.21395349
alpha_rarefaction_22325_7.txt	22325	7	4726.61219512	3589.08	4369.13592233	4447.33980583	4650.8490566	3849.63492063	4017.14563107	4593.34421365	582.47826087	5492.38181818	3914.10606061	3872.73504274
alpha_rarefaction_22325_8.txt	22325	8	4570.91836735	4107.18518519	4328.30670927	4406.00996678	4753.79901961	3420.12437811	4060.72240803	4437.4690027	548.881355932	5368.76595745	3581.09427609	3874.09859155
alpha_rarefaction_22325_9.txt	22325	9	4931.65853659	4153.23571429	4144.79464286	4583.3271028	4387.35294118	3728.91878173	3917.95541401	4564.89766082	561.052631579	5445.5	3696.30952381	3908.0678733
alpha_rarefaction_26788_0.txt	26788	0	4807.09395973	4279.25280899	4417.54188482	5211.04166667	4653.67058824	3923.23144105	4308.4260355	4989.1097561	603.559322034	5921.84272997	3823.30635838	3860.77205882
alpha_rarefaction_26788_1.txt	26788	1	4816.90425532	4103.64066852	4462.44584383	5143.12893983	4929.775	3970.24444444	4534.66563467	4794.44497608	507.142857143	5421.32432432	4243.00980392	4342.73563218
alpha_rarefaction_26788_2.txt	26788	2	4925.65292842	4255.29411765	4344.44221106	4830.16348774	4998.51948052	3834.16309013	4187.47486034	4996.04663212	510.388888889	5887.2173913	3821.71875	4335.51464435
alpha_rarefaction_26788_3.txt	26788	3	4942.9516129	4129.85978836	4667.4	4669.50259067	4331.20618557	3948.12446352	4325.51453488	4669.90846682	508.4	6103.46363636	3816.86486486	3826.94964029
alpha_rarefaction_26788_4.txt	26788	4	4745.67287785	4241.61643836	4179.7038835	5009.48997135	4754.49003984	3991.5862069	4245.27327327	4781.60592255	596.904761905	5515.28212291	3853.22754491	4422.28458498
alpha_rarefaction_26788_5.txt	26788	5	4872.24557522	4184.37845304	4755.19354839	5213.1734104	5615.96	3672.02325581	4372.115727	4590.81967213	629.508196721	5693.24576271	3967.16403785	4341.39516129
alpha_rarefaction_26788_6.txt	26788	6	4785.02114165	3970.54545455	4419.66019417	4965.37228261	4281.78700361	4044.08677686	4390.64652568	4561.12162162	604.844827586	5724.61079545	3883.59006211	4309.37142857
alpha_rarefaction_26788_7.txt	26788	7	5032.0935412	4213.37465565	4300.32917706	4682.48739496	4625.0037037	3666.21268657	4312.07977208	4621.40222222	548.411764706	5868.88135593	4012.31402439	4113.05970149
alpha_rarefaction_26788_8.txt	26788	8	4723.01290323	4259.14730878	4412.88613861	4904.375	4814.87603306	4485.12182741	4214.77906977	4896.82380952	558.060606061	5644.6446281	3857.41975309	4182.76771654
alpha_rarefaction_26788_9.txt	26788	9	4803.6872428	4138.57880435	4287.93316832	5005.07386364	5216.61181435	3728.38	4013.97368421	4562.77570093	591.5	5976.53846154	3958.76875	4088.19642857
alpha_rarefaction_31251_0.txt	31251	0	5026.35968379	4259.60514019	4486.5464135	5081.14250614	5428.77580071	4119.06896552	4657.67466667	4987.66381156	605.727272727	6071.15789474	3871.06451613	4482.01694915
