# Constructed from biom file
#OTU ID	CK	JXBR16	R37J16	RW37
Unassigned;Other	0.0273451521686	0.0251060993554	0.0232534088737	0.0186646755567
k__Archaea;p__Euryarchaeota	0.00296977287694	0.00141394825886	0.00112860980901	0.000320848624807
k__Archaea;p__Miscellaneous Crenarchaeotic Group	5.16482239467e-06	0.0	2.24822671118e-06	5.94164120013e-06
k__Archaea;p__Thaumarchaeota	0.00781695869433	0.0032537845475	0.00269787205342	0.00199639144324
k__Archaea;p__Woesearchaeota (DHVEG-6)	3.35713455654e-05	5.749488402e-05	8.99290684473e-06	7.92218826684e-06
k__Bacteria;Other	0.000216922540576	0.00051745395618	0.000215829764273	0.000227762912672
k__Bacteria;p__Acidobacteria	0.164352395832	0.190207982419	0.123283759934	0.114966796128
k__Bacteria;p__Actinobacteria	0.145666068408	0.120123848239	0.132834227003	0.127939379415
k__Bacteria;p__Aerophobetes	0.000361537567627	0.000579207720498	0.000125900695826	0.000128735559336
k__Bacteria;p__Armatimonadetes	0.0132193629192	0.0131940111625	0.00940208410616	0.00845099433365
k__Bacteria;p__Bacteroidetes	0.0710498792723	0.0646860034028	0.0475454984881	0.0713155387781
k__Bacteria;p__Candidate division OP3	1.03296447893e-05	2.34238416378e-05	0.0	0.0
k__Bacteria;p__Candidate division SR1	0.0	0.000110730887742	0.0	0.0
k__Bacteria;p__Candidate division WS6	0.000113626092683	0.0	0.00145460268213	0.000287179324673
k__Bacteria;p__Chlamydiae	0.000258241119733	0.000144801930125	0.000179858136895	0.000134677200536
k__Bacteria;p__Chlorobi	0.00192647875321	0.00407574844498	0.0018098225025	0.00141213005856
k__Bacteria;p__Chloroflexi	0.177217968417	0.097496417217	0.171461010128	0.130480421302
k__Bacteria;p__Cyanobacteria	0.0135499115524	0.00202296814145	0.0149934239369	0.0112613906213
k__Bacteria;p__Deferribacteres	7.747233592e-06	0.0	0.0	0.0
k__Bacteria;p__Deinococcus-Thermus	1.80768783813e-05	8.09187256578e-05	4.72127609348e-05	3.16887530674e-05
k__Bacteria;p__Elusimicrobia	0.00250493886141	0.00178021196447	0.00125001405142	0.00120615316363
k__Bacteria;p__Fibrobacteres	0.000408020969179	0.0004791240335	0.000121404242404	6.53580532015e-05
k__Bacteria;p__Firmicutes	0.00447015378259	0.00396075867694	0.00530356681168	0.00410171297516
k__Bacteria;p__Fusobacteria	3.61537567627e-05	2.12944014889e-06	2.92269472454e-05	2.7727658934e-05
k__Bacteria;p__GAL08	5.16482239467e-06	0.0	4.49645342236e-06	0.0
k__Bacteria;p__Gemmatimonadetes	0.0261933967746	0.0521201770842	0.0449532930901	0.0625021043313
k__Bacteria;p__Gracilibacteria	0.000216922540576	0.00103064903206	0.000175361683472	0.000287179324673
k__Bacteria;p__Hydrogenedentes	8.26371583147e-05	0.00106684951459	9.66737485808e-05	9.11051650687e-05
k__Bacteria;p__JL-ETNP-Z39	0.0	0.00094121254581	0.0	0.0
k__Bacteria;p__Latescibacteria	0.000609449042571	0.00411620780781	0.000236063804674	0.000184190877204
k__Bacteria;p__Lentisphaerae	0.0	6.38832044667e-06	0.0	0.0
k__Bacteria;p__Microgenomates	0.000410603380376	0.000662255886305	0.000256297845075	0.000560494819879
k__Bacteria;p__Nitrospirae	0.00652575309567	0.0244523612297	0.00635124045909	0.00572972266399
k__Bacteria;p__Omnitrophica	2.58241119733e-06	8.51776059556e-06	0.0	7.92218826684e-06
k__Bacteria;p__Parcubacteria	0.000488075716296	0.000621796523476	0.000337234006677	0.000380265036808
k__Bacteria;p__Planctomycetes	0.00267796041164	0.00769153781779	0.00172438988748	0.00186369478977
k__Bacteria;p__Proteobacteria	0.274964814647	0.310197675929	0.329740667049	0.357581831254
k__Bacteria;p__SHA-109	0.000544888762638	0.00237858464631	0.000568801357929	0.00045750637241
k__Bacteria;p__SM2F11	0.00247911474944	0.000157578571018	0.000935262311852	0.000954623686155
k__Bacteria;p__Saccharibacteria	0.0311154725167	0.0383938058845	0.0590069582617	0.0604007438935
k__Bacteria;p__Spirochaetae	0.000245329063747	0.000104342567296	1.34893602671e-05	1.98054706671e-06
k__Bacteria;p__Synergistetes	5.16482239467e-06	0.0	0.0	0.0
k__Bacteria;p__TM6	0.00136867793459	0.000161837451316	0.000492361649749	0.000655561079081
k__Bacteria;p__Tenericutes	0.0	0.0	6.74468013354e-06	0.0
k__Bacteria;p__Thermotogae	0.00427389053159	0.00785337526911	0.00562506323138	0.00344813244314
k__Bacteria;p__Verrucomicrobia	0.0050357018348	0.0173953965763	0.00275182949449	0.00215681575565
k__Bacteria;p__WCHB1-60	0.00561416194301	0.00132238233246	0.00432558819231	0.00394921085102
k__Bacteria;p__WD272	0.0035818043307	0.0	0.00524960937061	0.00575348922879
