#OTU ID	CK	JXBR16	RW37	R37J16	taxonomy
New.CleanUp.ReferenceOTU148665	3	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU148662	5	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
New.CleanUp.ReferenceOTU198363	1	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__
New.CleanUp.ReferenceOTU73461	0	0	4	0	k__Protista; p__Ciliophora; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU199019	1	1	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU35469	0	0	0	4	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
New.CleanUp.ReferenceOTU1528	0	0	0	1	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Jahnulales; f__Aliquandostipitaceae; g__Jahnula; s__
New.CleanUp.ReferenceOTU5302	0	1	0	1	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_niger
New.CleanUp.ReferenceOTU161002	4	0	0	0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__; g__; s__
New.CleanUp.ReferenceOTU284409	0	1	0	0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellales_fam_Incertae_sedis; g__Cryptococcus; s__Cryptococcus_terreus
New.CleanUp.ReferenceOTU170726	3	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__; g__; s__
New.CleanUp.ReferenceOTU135048	1	0	1	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU96333	0	0	2	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__
New.CleanUp.ReferenceOTU75000	0	0	1	0	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Melanotaeniaceae; g__Melanotaenium; s__Melanotaenium_endogenum
New.CleanUp.ReferenceOTU75001	0	0	1	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU200185	6	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Leotiomycetes_ord_Incertae_sedis; f__Myxotrichaceae; g__; s__
New.CleanUp.ReferenceOTU43142	1	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU42940	0	0	0	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Trichocladium; s__Trichocladium_asperum
New.CleanUp.ReferenceOTU250091	0	2	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinales_Group_B; g__; s__Sebacinales_Group_
New.CleanUp.ReferenceOTU261935	0	2	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
New.CleanUp.ReferenceOTU13790	1	0	0	1	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU67012	0	1	0	1	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_piperis
New.CleanUp.ReferenceOTU38799	1	0	2	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__; g__; s__
New.CleanUp.ReferenceOTU107877	0	0	0	1	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_piperis
New.CleanUp.ReferenceOTU23869	0	1	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
New.CleanUp.ReferenceOTU270538	0	1	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__; s__
New.CleanUp.ReferenceOTU34935	0	0	0	1	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU34939	0	0	0	1	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Lophiostomataceae; g__Lophiostoma; s__
New.CleanUp.ReferenceOTU152793	2	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__; s__
New.CleanUp.ReferenceOTU20130	1	0	0	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetidae_ord_Incertae_sedis; f__Annulatascaceae; g__Conlarium; s__
New.CleanUp.ReferenceOTU20132	1	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_oxysporum
New.CleanUp.ReferenceOTU213939	0	1	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_piperis
New.CleanUp.ReferenceOTU71467	0	0	0	0	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU37655	1	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__
New.CleanUp.ReferenceOTU100718	2	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU37652	0	0	0	1	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU100717	0	0	2	0	k__Protista; p__Ciliophora; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU268943	0	2	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_abidjanum
New.CleanUp.ReferenceOTU124466	0	2	0	0	k__Protista; p__Cercozoa; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU244622	0	1	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__
New.CleanUp.ReferenceOTU211519	1	1	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU28080	0	0	0	1	k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Ciliophora; s__
New.CleanUp.ReferenceOTU28082	1	0	0	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetidae_ord_Incertae_sedis; f__Annulatascaceae; g__Conlarium; s__
New.CleanUp.ReferenceOTU71008	0	1	0	1	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellales_fam_Incertae_sedis; g__Cryptococcus; s__Cryptococcus_podzolicus
New.CleanUp.ReferenceOTU4950	1	1	2	1	k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Junewangia; s__Junewangia_lamma
New.CleanUp.ReferenceOTU126423	0	0	1	1	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_paxilli
New.CleanUp.ReferenceOTU126421	0	0	3	0	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU126428	0	0	1	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Diatrypaceae; g__Eutypa; s__arsa
New.CleanUp.ReferenceOTU283424	0	1	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU93993	0	0	1	0	k__Fungi; p__Zygomycota; c__Mortierellomycotina_cls_Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_angusta
New.CleanUp.ReferenceOTU93996	1	0	5	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__; g__; s__
New.CleanUp.ReferenceOTU14981	0	1	0	1	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinales_Group_B; g__; s__Sebacinales_Group_
New.CleanUp.ReferenceOTU43	112	0	0	0	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU94413	0	0	1	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Chaetomium; s__Chaetomium_irregulare
New.CleanUp.ReferenceOTU94419	0	0	1	0	k__Fungi; p__Zygomycota; c__Mortierellomycotina_cls_Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_angusta
New.CleanUp.ReferenceOTU110837	0	1	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_piperis
New.CleanUp.ReferenceOTU166478	0	3	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_niger
New.CleanUp.ReferenceOTU166477	1	1	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_oxysporum
New.CleanUp.ReferenceOTU105388	1	0	1	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__; s__
New.CleanUp.ReferenceOTU90418	0	0	1	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Trichocladium; s__Trichocladium_asperum
New.CleanUp.ReferenceOTU94830	0	0	3	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_keratoplasticum
New.CleanUp.ReferenceOTU48605	1	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Trichocladium; s__Trichocladium_asperum
New.CleanUp.ReferenceOTU251644	0	2	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__; f__; g__; s__
New.CleanUp.ReferenceOTU85785	1	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU57171	0	0	2	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_oxysporum
New.CleanUp.ReferenceOTU5853	0	0	0	2	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU98411	0	0	0	1	k__Fungi; p__Zygomycota; c__Mortierellomycotina_cls_Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_angusta
New.CleanUp.ReferenceOTU147165	1	0	0	0	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU100260	0	0	1	0	k__Protista; p__Ciliophora; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU100261	0	0	1	0	k__Protista; p__Ciliophora; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU100262	1	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__
New.CleanUp.ReferenceOTU13619	0	0	0	2	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__; g__; s__
New.CleanUp.ReferenceOTU13614	1	0	2	8	k__Protista; p__Ciliophora; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU116112	0	0	0	2	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU111819	0	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_niger
New.CleanUp.ReferenceOTU18002	0	0	0	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__Lecythophora; s__Lecythophora_fasciculata
New.CleanUp.ReferenceOTU12567	0	0	1	0	k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Ciliophora; s__
New.CleanUp.ReferenceOTU35987	0	0	0	1	k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Ciliophora; s__
New.CleanUp.ReferenceOTU194434	2	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
New.CleanUp.ReferenceOTU134085	0	0	0	0	k__Fungi; p__Zygomycota; c__Mortierellomycotina_cls_Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__
New.CleanUp.ReferenceOTU111047	0	0	0	1	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleomassariaceae; g__; s__
New.CleanUp.ReferenceOTU94383	0	0	1	0	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU183438	3	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__; f__; g__; s__
New.CleanUp.ReferenceOTU183431	2	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
New.CleanUp.ReferenceOTU216146	0	1	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Talaromyces; s__Talaromyces_assiutensis
New.CleanUp.ReferenceOTU216144	0	4	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_piperis
New.CleanUp.ReferenceOTU248967	0	2	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_piperis
New.CleanUp.ReferenceOTU248960	0	2	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinales_Group_B; g__; s__Sebacinales_Group_
New.CleanUp.ReferenceOTU66628	0	0	0	1	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
New.CleanUp.ReferenceOTU205843	3	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
New.CleanUp.ReferenceOTU205841	1	2	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_rolfsii
New.CleanUp.ReferenceOTU237653	0	0	0	1	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU179844	1	3	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_janus
New.CleanUp.ReferenceOTU159464	2	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU128946	0	0	1	0	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU174170	2	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__; s__
New.CleanUp.ReferenceOTU16813	3	0	0	4	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU46645	1	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__
New.CleanUp.ReferenceOTU32292	0	0	0	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Clonostachys; s__Clonostachys_rosea
New.CleanUp.ReferenceOTU12015	0	0	2	3	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__; g__; s__
New.CleanUp.ReferenceOTU12013	0	2	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales; f__; g__; s__
New.CleanUp.ReferenceOTU12018	0	0	0	5	k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Ciliophora; s__
New.CleanUp.ReferenceOTU88551	1	0	1	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU35610	1	0	0	2	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU5182	1	0	0	1	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
New.CleanUp.ReferenceOTU5187	4	0	0	5	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU5185	0	0	0	2	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__; g__; s__
New.CleanUp.ReferenceOTU42748	1	0	0	2	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__; g__; s__
New.CleanUp.ReferenceOTU68435	1	0	0	1	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU38904	0	1	1	1	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__
New.CleanUp.ReferenceOTU38905	1	0	0	3	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinales_Group_B; g__; s__Sebacinales_Group_
New.CleanUp.ReferenceOTU203339	1	2	0	0	k__Protista; p__Ciliophora; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU43838	0	0	0	1	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU58200	0	2	0	1	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales; f__; g__; s__
New.CleanUp.ReferenceOTU175656	1	0	0	2	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_abidjanum
New.CleanUp.ReferenceOTU187354	3	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__; f__; g__; s__
New.CleanUp.ReferenceOTU187357	4	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Arnium; s__
New.CleanUp.ReferenceOTU258486	0	2	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_citrinum
New.CleanUp.ReferenceOTU196277	3	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU101479	1	0	2	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU101476	0	0	1	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola; s__
New.CleanUp.ReferenceOTU194695	19	18	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__; f__; g__; s__
New.CleanUp.ReferenceOTU180710	1	2	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__; s__
New.CleanUp.ReferenceOTU186003	4	0	0	0	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU186000	8	0	0	0	k__Plantae; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU186001	3	0	0	0	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU124029	1	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_laeve
New.CleanUp.ReferenceOTU195564	3	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU126600	0	0	1	0	k__Fungi; p__Zygomycota; c__Mucoromycotina_cls_Incertae_sedis; o__Mucorales; f__Cunninghamellaceae; g__Absidia; s__Absidia_repens
New.CleanUp.ReferenceOTU50323	0	0	1	1	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__; g__; s__
New.CleanUp.ReferenceOTU111996	0	1	0	2	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_piperis
New.CleanUp.ReferenceOTU569	1	2	15	0	k__Plantae; p__Chlorophyta; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU568	0	0	0	9	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU127700	7	2	5	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetidae_ord_Incertae_sedis; f__Annulatascaceae; g__Conlarium; s__
New.CleanUp.ReferenceOTU126074	0	0	1	0	k__Protista; p__Ciliophora; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU159432	6	1	0	3	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Massariosphaeria; s__
New.CleanUp.ReferenceOTU3004	0	0	0	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Clonostachys; s__Clonostachys_rosea
New.CleanUp.ReferenceOTU99160	2	0	2	0	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU37480	0	0	0	4	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_niger
New.CleanUp.ReferenceOTU68145	1	0	0	1	k__Protista; p__Ciliophora; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU234803	0	1	0	0	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU111519	0	3	0	1	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_piperis
New.CleanUp.ReferenceOTU259441	0	2	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_heteromorphus
New.CleanUp.ReferenceOTU259440	0	3	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
New.CleanUp.ReferenceOTU130600	1	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU130603	1	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
New.CleanUp.ReferenceOTU6952	0	0	0	2	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Vibrisseaceae; g__Myxocephala; s__Myxocephala_albida
New.CleanUp.ReferenceOTU136492	1	0	3	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola; s__
New.CleanUp.ReferenceOTU12195	0	1	1	5	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU137450	1	0	0	0	k__Protista; p__Ciliophora; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU32656	0	0	0	1	k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Ciliophora; s__
New.CleanUp.ReferenceOTU32652	0	0	0	1	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Clathrosphaerina; s__Clathrosphaerina_zalewskii
New.CleanUp.ReferenceOTU45312	0	0	0	2	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleomassariaceae; g__; s__
New.CleanUp.ReferenceOTU225107	0	1	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_abidjanum
New.CleanUp.ReferenceOTU102092	0	0	1	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Geastrales; f__Geastraceae; g__Sphaerobolus; s__
New.CleanUp.ReferenceOTU115619	0	2	1	1	k__Fungi; p__Zygomycota; c__Mortierellomycotina_cls_Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_angusta
New.CleanUp.ReferenceOTU55684	0	2	0	1	k__Fungi; p__Zygomycota; c__Mucoromycotina_cls_Incertae_sedis; o__Mucorales; f__Cunninghamellaceae; g__Gongronella; s__Gongronella_butleri
New.CleanUp.ReferenceOTU184707	3	0	0	0	k__Fungi; p__; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU42121	0	0	0	1	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__; g__; s__
New.CleanUp.ReferenceOTU80043	1	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__
New.CleanUp.ReferenceOTU266928	0	1	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_niger
New.CleanUp.ReferenceOTU209083	1	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__
New.CleanUp.ReferenceOTU209086	4	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinales_Group_B; g__; s__Sebacinales_Group_
New.CleanUp.ReferenceOTU256923	0	2	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola; s__
New.CleanUp.ReferenceOTU81394	0	0	2	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__Thanatephorus; s__Thanatephorus_cucumeris
New.CleanUp.ReferenceOTU183865	1	0	0	0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellales_fam_Incertae_sedis; g__Cryptococcus; s__Cryptococcus_podzolicus
New.CleanUp.ReferenceOTU39125	1	0	0	2	k__Protista; p__Ciliophora; c__; o__; f__; g__; s__
New.CleanUp.ReferenceOTU56170	0	0	3	1	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Melanotaeniaceae; g__Melanotaenium; s__Melanotaenium_endogenum
