#Base	Mean
1	27.42759882070321
2	30.992853243066172
3	28.426949115527407
4	29.36437540947805
5	31.700999126446824
6	34.700103734439836
7	36.12259772876174
8	37.60315025114654
9	38.42698187377157
10	37.80120659532649
11	37.88243066171653
12	37.6417667613016
13	38.48981218606683
14	38.06356737278882
15	38.852986459925745
16	37.56895064424547
17	37.94009609084953
18	37.68259445293732
19	38.3420779646211
20	38.22870714129723
21	38.65719043459271
22	38.26872679624372
23	38.94799628739899
24	38.80603297663245
25	39.08608866564752
26	37.837568246341995
27	38.02070867001529
28	38.2184865691199
29	37.71964402708015
30	38.092978816335446
31	38.55400196549465
32	38.1756497051758
33	37.557730945621316
34	38.29018890587464
35	37.90681371478489
36	37.7107392443765
37	37.94464948678751
38	38.737748416684866
39	38.46895064424547
40	38.906993885127754
41	38.91076108320594
42	39.08383926621533
43	38.34641843197205
44	38.56598602314916
45	38.09544660406202
46	38.726659751037346
47	38.12811749290238
48	38.67423564096964
49	38.90626774404892
50	38.45548154618913
51	38.49195785105918
52	38.495424765232585
53	38.33009936667395
54	38.1601168377375
55	38.01449552303996
56	38.264298973575016
57	37.78387748416685
58	37.95643153526971
59	37.86258462546407
60	38.29054378685302
61	38.672133653636166
62	37.97539855863726
63	37.99864053286744
64	38.051446822450316
65	37.83205394190871
66	37.97193710417122
67	37.84640205284997
68	37.352991919633105
69	37.70998580476086
70	38.14468770473903
71	38.02211181480673
72	38.5638676566936
73	38.515713037781175
74	38.850606027516925
75	38.95322668704957
76	38.37896920725049
77	38.46461017689452
78	38.408953920069884
79	37.343519327364056
80	37.05491373662372
81	37.106917449224724
82	37.67502183882944
83	38.176861760209654
84	37.46316881415156
85	37.928417776807166
86	37.78369731382398
87	37.98512229744486
88	37.83404127538764
89	37.91753658003931
90	37.13280192181699
91	37.413840358156804
92	37.712027735313384
93	37.66880869185412
94	37.428750818956104
95	38.55874099148286
96	37.62738043240882
97	38.497286525442235
98	38.586208779209436
99	37.827566062459056
100	38.21559292421926
101	37.986268835990394
102	36.71582769163573
103	37.50437868530247
104	37.94739025988207
105	38.21418977942782
106	38.3403035597292
107	38.01548373007207
108	38.67074688796681
109	38.34035815680279
110	38.7156147630487
111	38.39511356191308
112	38.5236459925748
113	38.681240445512124
114	38.529264031447916
115	38.59704083861105
116	38.60572177331295
117	38.500737060493556
118	38.47236842105263
119	38.13238698405765
120	38.538321685957634
121	38.51160187813933
122	38.571205503385016
123	38.623853461454466
124	38.683216859576326
125	38.58353898231055
126	38.67369512994104
127	38.76260646429351
128	38.57332386984058
129	38.7166302686176
130	38.71097947150033
131	37.99907730945621
132	38.84800174710635
133	38.80015833151343
134	38.71955121205503
135	38.39667503821795
136	38.629116619349205
137	38.16690325398559
138	37.89907730945621
139	37.65020746887967
140	38.418164446385674
141	38.40099366673946
142	38.615085171434814
143	38.687988643808694
144	38.76067372788818
145	38.46849748853462
146	38.2958833806508
147	38.05432954793623
148	38.18827800829875
149	38.45311203319502
150	38.31982965713038
151	38.45847346582223
152	38.32148940816772
153	38.44198514959598
154	38.518191744922476
155	37.97968442891461
156	37.97981546189124
157	38.448176457741866
158	38.5291166193492
159	38.37849967241756
160	38.295561257916575
161	38.1795097182791
162	38.09313714784888
163	38.32388075999126
164	38.42895282812841
165	38.42449770692291
