Class	CK	CK	CK	JXBR16	JXBR16	JXBR16	RW37	RW37	RW37	R37J16	R37J16	R37J16
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Teloschistales|f__Physciaceae|g__Physcia|s__Physcia_alnophila	0	4.48028673835125e-05	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Teloschistales|f__Physciaceae|g__Physconia	1.87987592818874e-05	0	0	0	0	0	0	3.5585922209174e-05	0	3.87660758070612e-05	7.54764450594377e-05	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Teloschistales|f__Physciaceae|g__Physconia|s__Physconia_enteroxantha	1.87987592818874e-05	0	0	0	0	0	0	3.5585922209174e-05	0	3.87660758070612e-05	7.54764450594377e-05	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Teloschistales|f__Teloschistaceae	1.87987592818874e-05	0	0	0	0	0	1.85260661751084e-05	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Teloschistales|f__Teloschistaceae|g__Austroplaca	1.87987592818874e-05	0	0	0	0	0	1.85260661751084e-05	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes	0.0466209230190808	0.0514784946236559	0.00867278521795161	0.0214450536655588	0.0223428442190717	0.00589194291107742	0.0147652747415614	0.0139852674282054	0.046137559099198	0.0274948392661583	0.0285300962324675	0.00969461948618515
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Erysiphales	0	0	0	0	0	0	0	0	0	4.84575947588266e-05	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Erysiphales|f__Erysiphaceae	0	0	0	0	0	0	0	0	0	4.84575947588266e-05	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Erysiphales|f__Erysiphaceae|g__Phyllactinia	0	0	0	0	0	0	0	0	0	4.84575947588266e-05	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Erysiphales|f__Erysiphaceae|g__Phyllactinia|s__Phyllactinia_broussonetiae-kaempferi	0	0	0	0	0	0	0	0	0	4.84575947588266e-05	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	0.0247955634928095	0.0080421146953405	0.00491109524390031	0.00876431610813557	0.00835624754490589	0.00431885135714899	0.00815146911704769	0.0061741575032917	0	0.0159328571567022	0.0218252720296874	0.00354000499419792
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiaceae	0	0.000224014336917563	0	0	0	0	0	0	0	0	3.77382225297189e-05	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiaceae|g__Articulospora	0	0	0	0	0	0	0	0	0	0	3.77382225297189e-05	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiaceae|g__Cenangium	0	0.000224014336917563	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiaceae|g__Cenangium|s__Cenangium_acuum	0	0.000224014336917563	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiales_fam_Incertae_sedis	0.00142870570542344	0.000336021505376344	0.00012190661952944	0.000465736604780151	0.000583270840029044	0.000171609987701284	0.000314943124976842	0.000978612860752286	0	0.000329511644360021	0.00191206994150576	0.000205643443646352
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiales_fam_Incertae_sedis|g__Acidomelania	0.000733151611993608	0.000313620071684588	6.96609254453945e-05	0.000402227067764676	0.00016664881143687	7.15041615422017e-05	5.55781985253251e-05	8.89648055229351e-05	0	0.000116298227421184	0.00010063526007925	0.000102821721823176
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiales_fam_Incertae_sedis|g__Acidomelania|s__Acidomelania_panicicola	0.000733151611993608	0.000313620071684588	6.96609254453945e-05	0.000402227067764676	0.00016664881143687	7.15041615422017e-05	5.55781985253251e-05	8.89648055229351e-05	0	0.000116298227421184	0.00010063526007925	0.000102821721823176
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiales_fam_Incertae_sedis|g__Cadophora	0	0	0	0	0	0	3.70521323502168e-05	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiales_fam_Incertae_sedis|g__Scytalidium	5.63962778456622e-05	2.24014336917563e-05	0	2.11698456718251e-05	0.00011903486531205	0	0.000129682463225759	0.000266894416568805	0	3.87660758070612e-05	0.000729605635574564	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiales_fam_Incertae_sedis|g__Scytalidium|s__Scytalidium_lignicola	0	0	0	0	8.33244057184349e-05	0	3.70521323502168e-05	0.000266894416568805	0	3.87660758070612e-05	5.03176300396251e-05	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiales_fam_Incertae_sedis|g__Tetracladium	1.87987592818874e-05	0	5.22456940840459e-05	4.23396913436501e-05	0.00021426275756169	8.58049938506421e-05	0	0.000284687377673392	0	4.84575947588266e-05	0.00106924963834203	5.87552696132434e-05
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiales_fam_Incertae_sedis|s__Helotiales_fam_Incertae_	0.000620359056302284	0	0	0	8.33244057184349e-05	1.43008323084404e-05	9.26303308755419e-05	0.000338066260987153	0	0.000125989746372949	1.25794075099063e-05	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Hyaloscyphaceae	0.000770749130557383	0.00268817204301075	0.000957837724874175	0.00182060672777695	0.00178552297968075	0.00187340903240569	0.00135240283078291	0.000373652183196327	0	0.000319820125408255	0.0075979621359834	0.000528797426519191
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Hyaloscyphaceae|g__Clathrosphaerina	0.000770749130557383	0.00268817204301075	0.000957837724874175	0.00154539873404323	0.00172600554702472	0.00174470154162972	0.00135240283078291	0.000373652183196327	0	0.000281054049601194	0.00750990628341406	0.000484730974309258
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Hyaloscyphaceae|g__Clathrosphaerina|s__Clathrosphaerina_zalewskii	0.000770749130557383	0.00268817204301075	0.000957837724874175	0.00154539873404323	0.00172600554702472	0.00174470154162972	0.00135240283078291	0.000373652183196327	0	0.000281054049601194	0.00750990628341406	0.000484730974309258
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Hyaloscyphaceae|g__Discocistella	0	0	0	6.35095370154752e-05	1.1903486531205e-05	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Hyaloscyphaceae|g__Discocistella|s__Discocistella_grevillei	0	0	0	6.35095370154752e-05	1.1903486531205e-05	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Hyaloscyphaceae|g__Mycoarthris	0	0	0	0.000211698456718251	4.761394612482e-05	0.000128707490775963	0	0	0	3.87660758070612e-05	8.8055852569344e-05	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Hyaloscyphaceae|g__Mycoarthris|s__Mycoarthris_corallina	0	0	0	0.000211698456718251	4.761394612482e-05	0.000128707490775963	0	0	0	3.87660758070612e-05	8.8055852569344e-05	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae	0.000131591314973212	0	1.74152313613486e-05	0	0	0	0	0	0	0	0	1.46888174033109e-05
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Amphobotrys	0.000131591314973212	0	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Amphobotrys|s__Amphobotrys_ricini	0.000131591314973212	0	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Botrytis	0	0	1.74152313613486e-05	0	0	0	0	0	0	0	0	1.46888174033109e-05
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Botrytis|s__Botrytis_caroliniana	0	0	1.74152313613486e-05	0	0	0	0	0	0	0	0	1.46888174033109e-05
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Vibrisseaceae	0.000601560297020397	0.0003584229390681	0	0.0010161525922476	0.000892761489840374	0.000114406658467523	5.55781985253251e-05	0.000142343688836696	0	0.000106606708469418	0.00088055852569344	2.93776348066217e-05
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Vibrisseaceae|g__Myxocephala	0.000601560297020397	0.0003584229390681	0	0.0010161525922476	0.000892761489840374	0.000114406658467523	5.55781985253251e-05	0.000142343688836696	0	0.000106606708469418	0.00088055852569344	2.93776348066217e-05
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Vibrisseaceae|g__Myxocephala|s__Myxocephala_albida	0.000601560297020397	0.0003584229390681	0	0.0010161525922476	0.000892761489840374	0.000114406658467523	5.55781985253251e-05	0.000142343688836696	0	0.000106606708469418	0.00088055852569344	2.93776348066217e-05
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis	0.021374189303506	0.0433915770609319	0.00363978335452187	0.0125325486377204	0.013938982728041	0.00157309155392844	0.00646559709511282	0.00777552400270453	0.046137559099198	0.0114844499578419	0.00670482420278005	0.00613992567458394
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Leotiomycetes_fam_Incertae_sedis	0.00116552307547702	0	3.48304627226973e-05	8.46793826873002e-05	1.1903486531205e-05	5.72033292337614e-05	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Leotiomycetes_fam_Incertae_sedis|g__Chaetomella	0	0	0	8.46793826873002e-05	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Leotiomycetes_fam_Incertae_sedis|g__Chaetomella|s__Chaetomella_raphigera	0	0	0	8.46793826873002e-05	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Leotiomycetes_fam_Incertae_sedis|g__Geniculospora	0.00107152927906758	0	3.48304627226973e-05	0	1.1903486531205e-05	5.72033292337614e-05	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Leotiomycetes_fam_Incertae_sedis|g__Geniculospora|s__Geniculospora_grandis	0.00107152927906758	0	3.48304627226973e-05	0	1.1903486531205e-05	5.72033292337614e-05	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Leotiomycetes_fam_Incertae_sedis|g__Leohumicola	9.3993796409437e-05	0	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Leotiomycetes_fam_Incertae_sedis|g__Leohumicola|s__Leohumicola_lenta	9.3993796409437e-05	0	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Myxotrichaceae	0.020208666228029	0.0433915770609319	0.00360495289179917	0.0124478692550331	0.0139270792415098	0.00151588822469468	0.00646559709511282	0.00777552400270453	0.046137559099198	0.0114844499578419	0.00670482420278005	0.00613992567458394
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Myxotrichaceae|g__Oidiodendron	0.00043237146348341	0.00109767025089606	6.96609254453945e-05	0.0001693587653746	0.000583270840029045	4.29024969253211e-05	0.000259364926451517	0.000462616988719263	0	0.000959460376224766	0.00350965469526385	0.000352531617679461
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Myxotrichaceae|g__Oidiodendron|s__Oidiodendron_echinulatum	1.87987592818874e-05	0.000761648745519713	1.74152313613486e-05	8.46793826873002e-05	0	1.43008323084404e-05	0	0	0	0	0.000289326372727845	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Myxotrichaceae|g__Oidiodendron|s__Oidiodendron_maius	0	0	0	0	0	0	9.26303308755419e-05	0	0	8.72236705658878e-05	0	0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Myxotrichaceae|g__Oidiodendron|s__Oidiodendron_tenuissimum	0.000244383870664536	0	0	2.11698456718251e-05	0.0004761394612482	2.86016646168807e-05	0	0.000195722572150457	0	0.000755938478237694	0.00298131957984779	0.000235021078452974
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Myxotrichaceae|g__Oidiodendron|s__Oidiodendron_truncatum	0.000169188833536987	6.72043010752688e-05	5.22456940840459e-05	6.35095370154752e-05	0.000107131378780845	0	3.70521323502168e-05	0.000160136649941283	0	0.000116298227421184	0.000188691112648594	0.000117510539226487
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Myxotrichaceae|g__Pseudogymnoascus	0.019701099727418	0.00306899641577061	0.00346563104090838	0.0121303215699558	0.0132366770226999	0.00141578239853559	0.0061877061024862	0.00724173516956692	0.046137559099198	0.0105249895816171	0.0031951695075162	0.00578739405690448
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Leotiomycetes_ord_Incertae_sedis|f__Myxotrichaceae|g__Pseudogymnoascus|s__Pseudogymnoascus_roseus	0.019701099727418	0.00306899641577061	0.00346563104090838	0.0121303215699558	0.0132366770226999	0.00141578239853559	0.0061877061024862	0.00724173516956692	0.046137559099198	0.0105249895816171	0.0031951695075162	0.00578739405690448
k__Fungi|p__Ascomycota|c__Lichinomycetes	0	0	5.22456940840459e-05	0.000148188919702775	0.00038091156899856	0.000228813316935046	0.00122272036755715	0.00035585922209174	0	3.87660758070612e-05	0.000402541040317001	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Lichinomycetes|o__Lichinales	0	0	5.22456940840459e-05	0.000148188919702775	0.00038091156899856	0.000228813316935046	0.00122272036755715	0.00035585922209174	0	3.87660758070612e-05	0.000402541040317001	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Lichinomycetes|o__Lichinales|f__Lichinaceae	0	0	5.22456940840459e-05	0.000148188919702775	0.00038091156899856	0.000228813316935046	0.00122272036755715	0.00035585922209174	0	3.87660758070612e-05	0.000402541040317001	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Lichinomycetes|o__Lichinales|f__Lichinaceae|g__Lempholemma	0	0	5.22456940840459e-05	0.000148188919702775	0.00038091156899856	0.000228813316935046	0.00122272036755715	0.00035585922209174	0	3.87660758070612e-05	0.000402541040317001	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Lichinomycetes|o__Lichinales|f__Lichinaceae|g__Lempholemma|s__Lempholemma_polyanthes	0	0	5.22456940840459e-05	0.000148188919702775	0.00038091156899856	0.000228813316935046	0.00122272036755715	0.00035585922209174	0	3.87660758070612e-05	0.000402541040317001	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Neolectomycetes	0	0	0	0.00012701907403095	7.14209191872299e-05	0	0	0.000106757766627522	0	9.69151895176531e-06	0	0
k__Fungi|p__Ascomycota|c__Neolectomycetes|o__Neolectales	0	0	0	0.00012701907403095	7.14209191872299e-05	0	0	0.000106757766627522	0	9.69151895176531e-06	0	0
k__Fungi|p__Ascomycota|c__Neolectomycetes|o__Neolectales|f__Neolectaceae	0	0	0	0.00012701907403095	7.14209191872299e-05	0	0	0.000106757766627522	0	9.69151895176531e-06	0	0
k__Fungi|p__Ascomycota|c__Neolectomycetes|o__Neolectales|f__Neolectaceae|g__Neolecta	0	0	0	0.00012701907403095	7.14209191872299e-05	0	0	0.000106757766627522	0	9.69151895176531e-06	0	0
k__Fungi|p__Ascomycota|c__Neolectomycetes|o__Neolectales|f__Neolectaceae|g__Neolecta|s__Neolecta_irregularis	0	0	0	0.00012701907403095	7.14209191872299e-05	0	0	0.000106757766627522	0	9.69151895176531e-06	0	0
k__Fungi|p__Ascomycota|c__Orbiliomycetes	0.00328978287433029	0.000896057347670251	0.0135142195364065	0.00347185469017931	0.00148793581640062	0.000629236621571375	0.000648412316128793	0.00297142450446603	0.000410160905014494	0.00294622176133665	0.00212591986917416	0.0107228367044169
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales	0.00328978287433029	0.000896057347670251	0.0135142195364065	0.00347185469017931	0.00146412884333821	0.000629236621571375	0.000648412316128793	0.00297142450446603	0.000133025158383079	0.00294622176133665	0.00212591986917416	0.0107228367044169
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae	0.00250023498449102	0.000806451612903226	0.0130265930582888	0.00311196731375828	0.00021426275756169	0.00041472413694477	0.000240838860276409	0.00290025266004768	0.000133025158383079	0.0021224426504366	0.00157242593873829	0.0106347037999971
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Arthrobotrys	0.00225585111382649	8.96057347670251e-05	0.00360495289179917	0.00146071935135593	5.9517432656025e-05	0.000228813316935046	0.000240838860276409	0.00227749902138714	8.31407239894245e-05	0.000775321516141225	0.00054091452292597	0.00903362270303618
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Arthrobotrys|s__Arthrobotrys_microscaphoides	0.00225585111382649	8.96057347670251e-05	0.00348304627226973	0.00146071935135593	5.9517432656025e-05	0.000228813316935046	0.000240838860276409	0.00227749902138714	8.31407239894245e-05	0.000775321516141225	0.00054091452292597	0.00903362270303618
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Arthrobotrys|s__Arthrobotrys_oligospora	0	0	0.00012190661952944	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Dactylella	0.000131591314973212	0.0003584229390681	0.00841155674753138	0.00158773842538688	0.00014284183837446	0.000157309155392844	0	0.000622753638660546	0	0.00134712113429538	0.000930876155733065	0.00138074883591122
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Dactylella|s__Dactylella_clavata	0.000112792555691324	0.000291218637992832	0.00458020584803469	0.00150305904269958	0.00014284183837446	0.000157309155392844	0	0.000604960677555959	0	0.00134712113429538	0.000867979118183534	0.000763818504972165
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Dactylella|s__Dactylella_heptameres	1.87987592818874e-05	0	0.0038313508994967	8.46793826873002e-05	0	0	0	1.7792961104587e-05	0	0	0	0.000616930330939056
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Dactylella|s__Dactylella_lysipaga	0	6.72043010752688e-05	0	0	0	0	0	0	0	0	6.28970375495314e-05	0
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Duddingtonia	0	0	0	0	0	0	0	0	4.98844343936547e-05	0	0	0
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Duddingtonia|s__Duddingtonia_flagrans	0	0	0	0	0	0	0	0	4.98844343936547e-05	0	0	0
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Gamsylella	0	0	0	0	0	0	0	0	0	0	7.54764450594377e-05	7.34440870165543e-05
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Gamsylella|s__Gamsylella_gephyropaga	0	0	0	0	0	0	0	0	0	0	7.54764450594377e-05	7.34440870165543e-05
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Hyalorbilia	0	0.000112007168458781	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Hyalorbilia|s__Hyalorbilia_juliae	0	0.000112007168458781	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Orbilia	0	0	0	0	0	0	0	0	0	0	2.51588150198126e-05	0
k__Fungi|p__Ascomycota|c__Pezizomycetes	0.000263182629946424	0.0023073476702509	0.000365719858588321	0.00198996549315155	0.00148793581640062	0.000228813316935046	0.00337174404386972	0.00651222376427885	0.000792608235365847	0.000484575947588266	0.00368576640040254	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales	0.000263182629946424	0.0023073476702509	0.000365719858588321	0.00198996549315155	0.00148793581640062	0.000228813316935046	0.00337174404386972	0.00651222376427885	0.000792608235365847	0.000484575947588266	0.00368576640040254	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Ascobolaceae	9.3993796409437e-05	0	0	0	0	1.43008323084404e-05	0	0.00515995872033024	0	0	0	0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Ascobolaceae|g__Ascobolus	9.3993796409437e-05	0	0	0	0	1.43008323084404e-05	0	0.00515995872033024	0	0	0	0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Ascobolaceae|g__Ascobolus|s__Ascobolus_furfuraceus	7.51950371275496e-05	0	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pezizaceae	0	0.0015905017921147	1.74152313613486e-05	0.00158773842538688	0	0	0	0.000800683249706416	0	9.69151895176531e-06	2.51588150198126e-05	1.46888174033109e-05
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pezizaceae|g__Kalaharituber	0	0	0	0	0	0	0	3.5585922209174e-05	0	0	0	0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pezizaceae|g__Kalaharituber|s__Kalaharituber_pfeilii	0	0	0	0	0	0	0	3.5585922209174e-05	0	0	0	0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pezizaceae|g__Peziza	0	2.24014336917563e-05	1.74152313613486e-05	0.00156656857971505	0	0	0	0	0	0	0	1.46888174033109e-05
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pezizales_fam_Incertae_sedis	0	0	0	0	0	5.72033292337614e-05	1.85260661751084e-05	5.33788833137611e-05	0	1.93830379035306e-05	1.25794075099063e-05	0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pezizales_fam_Incertae_sedis|g__Pulvinula	0	0	0	0	0	5.72033292337614e-05	1.85260661751084e-05	5.33788833137611e-05	0	1.93830379035306e-05	1.25794075099063e-05	0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pezizales_fam_Incertae_sedis|g__Pulvinula|s__Pulvinula_convexella	0	0	0	0	0	5.72033292337614e-05	1.85260661751084e-05	5.33788833137611e-05	0	1.93830379035306e-05	1.25794075099063e-05	0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pyronemataceae	7.51950371275496e-05	0	0.000296058933142927	0.000402227067764676	0.00148793581640062	0.000157309155392844	0.00335321797769462	0.000444824027614676	0.000792608235365847	0.00045550139073297	0.00364802817787282	2.93776348066217e-05
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pyronemataceae|g__Geopora	1.87987592818874e-05	0	1.74152313613486e-05	0	0	0	1.85260661751084e-05	1.7792961104587e-05	0.000376904615418724	0	1.25794075099063e-05	0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pyronemataceae|g__Scutellinia	0	0	0	0	0	1.43008323084404e-05	0	0	0.000288221176496672	0.000426426833877674	0	0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pyronemataceae|g__Scutellinia|s__Scutellinia_scutellata	0	0	0	0	0	1.43008323084404e-05	0	0	0.000288221176496672	0.000426426833877674	0	0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Sarcosomataceae	9.3993796409437e-05	0.000716845878136201	5.22456940840459e-05	0	0	0	0	1.7792961104587e-05	0	0	0	0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Sarcosomataceae|g__Urnula	9.3993796409437e-05	0.000716845878136201	5.22456940840459e-05	0	0	0	0	1.7792961104587e-05	0	0	0	0
k__Fungi|p__Ascomycota|c__Pezizomycotina_cls_Incertae_sedis	0.0112604568098506	0.0078853046594982	0.0105884606676999	0.0175921417532867	0.0185456320156173	0.00483368132025284	0.0238800992997147	0.0192341909540586	0.0231796338482515	0.0175901068974541	0.0476759544625449	0.00781445085856136
k__Fungi|p__Ascomycota|c__Pezizomycotina_cls_Incertae_sedis|o__Pezizomycotina_ord_Incertae_sedis	0.0112604568098506	0.0078853046594982	0.0105884606676999	0.0175921417532867	0.0185456320156173	0.00483368132025284	0.0238800992997147	0.0192341909540586	0.0231796338482515	0.0175901068974541	0.0476759544625449	0.00781445085856136
k__Fungi|p__Ascomycota|c__Pezizomycotina_cls_Incertae_sedis|o__Pezizomycotina_ord_Incertae_sedis|f__Pezizomycotina_fam_Incertae_sedis	0.0112604568098506	0.00786290322580645	0.0105187997422546	0.0175921417532867	0.0185456320156173	0.00483368132025284	0.0238800992997147	0.0191986050318494	0.0231796338482515	0.0175901068974541	0.0476004780174855	0.00781445085856136
k__Fungi|p__Ascomycota|c__Pezizomycotina_cls_Incertae_sedis|o__Pezizomycotina_ord_Incertae_sedis|f__Pezizomycotina_fam_Incertae_sedis|g__Acrodictys	0	0	0	0	0	0	3.70521323502168e-05	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Pezizomycotina_cls_Incertae_sedis|o__Pezizomycotina_ord_Incertae_sedis|f__Pezizomycotina_fam_Incertae_sedis|g__Acrodictys|s__Acrodictys_peruamazonensis	0	0	0	0	0	0	3.70521323502168e-05	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Pezizomycotina_cls_Incertae_sedis|o__Pezizomycotina_ord_Incertae_sedis|f__Pezizomycotina_fam_Incertae_sedis|g__Calcarisporiella	5.63962778456622e-05	8.96057347670251e-05	1.74152313613486e-05	0	0	0	0	0	0	9.69151895176531e-06	0	0
k__Fungi|p__Ascomycota|c__Pezizomycotina_cls_Incertae_sedis|o__Pezizomycotina_ord_Incertae_sedis|f__Pezizomycotina_fam_Incertae_sedis|g__Chalara	1.87987592818874e-05	2.24014336917563e-05	0	0.000381057222092851	0.000345201109404945	0.000657838286188256	0.000963355441105635	0.00103199174406605	0	0.00205460201777425	0.015975847537581	0.000572863878729123
