"","Axis1","Axis2","Axis3","Axis4","Axis5"
"CK1",-100.924423399623,-227.44496968997,-0.750263009600348,-96.1171586006939,163.174470463699
"CK2",-91.6471439453185,-150.032046363247,-0.498894612400129,-69.7181888649744,-159.371820561615
"CK3",-68.3861947040738,-32.87354815897,2.58770235090566,39.0506421728433,-78.5933118177359
"JXBR161",295.233520206698,-10.2795383141539,-236.018434477909,-11.4918345991612,37.588219031369
"JXBR162",155.352918629454,-4.08214495243343,-2.99963600736914,13.3077401202711,-80.2542427548931
"JXBR163",262.649284153344,4.32661620664438,259.317128225302,-24.4081785666661,37.1410824988446
"RW371",-58.6438603155277,32.2446030278888,0.234661930684271,25.3560487204163,-36.599546064067
"RW372",-59.3482546366978,64.9539052853631,-1.33350112752545,10.2113998154031,-43.0996247950586
"RW373",-104.781386164343,205.672062182224,-16.9947255992026,-219.073842097555,52.1645462403401
"R37J161",-87.6382831151297,46.5899026913342,-1.90184987839517,67.800440443843,-9.00380867164639
"R37J162",-91.199892583405,35.7031400408737,0.0831521166950938,176.95246506216,148.121569482157
"R37J163",-50.6662841253166,35.2220180444184,-1.72533991125577,88.1304663940831,-31.2675330513754
