"","Axis1","Axis2","Axis3","Axis4","Axis5"
"CK1",-0.527715282284165,17.911183620894,-3.2784196995055,2.35636816616538,2.37227764525263
"CK2",-3.58906003870161,1.51013909862827,1.84593062089462,-8.93646850746468,-5.65047210025069
"CK3",-2.76093991102083,0.362139853025222,2.11513172178858,2.42420699104851,-7.7640872740799
"JXBR161",0.932664227307255,-0.777332545692102,1.86338767469689,-0.70835856972994,-2.4458772260323
"JXBR162",-1.8329619642317,-1.81384834853601,1.92761976756118,0.929396097480894,-0.427725867246384
"JXBR163",-3.44519999982454,-2.06868277030987,2.12717874099818,0.397048439053184,-0.464614773591957
"RW371",1.91926996719544,-4.91182053920057,-8.30643095180089,10.3208360508176,-2.64006516222931
"RW372",2.22984787077526,-3.81875599693142,-12.6220696398939,-7.35566228016391,4.34479047673776
"RW373",-8.05165237082843,-3.08836644801019,6.23261854003351,2.28096286629779,9.75116748704549
"R37J161",-0.574268109956987,-0.470862895163706,0.223496999242863,-0.688418542537224,0.998811440886459
"R37J162",17.4615193491219,-0.314266702796698,6.66509678909902,-0.397319247840781,1.93986029963017
"R37J163",-1.76150373755155,-2.5195263259069,1.2064594368854,-0.622591463126785,-0.0140649461219364
