"","Axis1","Axis2","Axis3","Axis4","Axis5"
"CK1",109.604882563141,30.9597882452915,-70.5752068065064,-50.3263671772211,41.5032350813886
"CK2",30.125186768111,-10.548199267513,10.8305265489965,14.8891710633525,-41.72976899502
"CK3",44.7775791411667,-18.6739403457619,2.76459428401877,29.6540889438964,-95.9280180505612
"JXBR161",4.35406841925477,14.0747046192438,51.8586785812846,42.3033465924788,74.948917097959
"JXBR162",-1.6448503007729,17.2336729214453,22.1685940489868,31.8444228965389,25.1691973391614
"JXBR163",1.23421136146608,10.3787962143692,27.9732905468788,19.0283248905468,15.527614420724
"RW371",2.91282477041343,-39.8207346619446,9.25878188160864,3.41659025284384,-21.8240931659016
"RW372",-44.3303669103092,-119.452522938454,-41.721388663723,-29.6280391997911,34.3570503967335
"RW373",3.18987828705119,-0.622983815256698,17.1973518056361,3.40490517862217,-1.33922124832804
"R37J161",-81.7845025042309,61.7807042508457,-94.4522518351434,39.4545448112701,-14.4971049688243
"R37J162",-50.0209755365376,44.3802419754428,44.3953879387734,-112.668147028793,-25.5230077613424
"R37J163",-18.4179360587526,10.3104728022944,20.3016416691936,8.62715877626097,9.33519985401282
