"","Axis1","Axis2","Axis3","Axis4","Axis5"
"CK1",-11.4786003885915,24.2688058496609,-3.21158756498208,3.45612510753713,5.30267531810299
"CK2",-25.8028814908756,-13.7200155089842,0.132690933181797,-1.24099355813945,3.8992147933299
"CK3",-3.13523388425353,3.59294822979836,1.38177899681141,-7.39969646697122,-21.3471069743561
"JXBR161",3.33184510286357,-1.51077796156763,-2.51981588731197,0.0495807832947859,-2.36205341670893
"JXBR162",4.44698674894171,-0.715543222188648,-3.25278053770243,-0.614876079504494,-1.19744347644642
"JXBR163",2.87930921702261,-1.28120979148664,-4.66546160484333,-0.461634618209468,-0.399146945347117
"RW371",3.46434381293846,-2.35154358675352,12.6147227327336,-2.03842516939149,0.961800676172308
"RW372",5.27877849688448,2.04920596352585,19.5104799464147,-4.14234398126563,7.74112342898881
"RW373",7.9074626020015,-2.52509638389389,-14.6382136421696,-12.1818010032977,9.22811906138955
"R37J161",4.19944005831063,-1.76898463821608,0.50590586981374,2.2407761522372,0.288979118836167
"R37J162",4.67773822466169,-4.48561271905595,-2.45730193691238,21.7179824096451,-1.19211102839832
"R37J163",4.23081150009607,-1.55217623083854,-3.40041730503347,0.615306424065198,-0.924050555562851
