"","Axis1","Axis2","Axis3","Axis4","Axis5"
"CK1",-2.95045371099215,1.68883379031964,3.79996348862432,3.74278643659191,0.816755757573623
"CK2",0.133981363185761,2.32886755014024,1.50766643045291,0.733375834809215,-2.81190611082965
"CK3",1.78747647615853,1.73453449838353,0.59000107857765,0.963638725032208,3.07519228623859
"JXBR161",0.484414129090795,-1.2615147816986,1.4137094988444,-0.821328053253786,-2.17240633212784
"JXBR162",1.50512558986701,0.259351025747964,0.161341183566341,-1.16494901277928,-1.6177365820517
"JXBR163",2.38584162951822,1.43477245248421,0.425111185749011,-0.575228143716745,-0.451618911668668
"RW371",-1.51492784743298,-4.07763214981104,-1.78634743362379,1.93921001879033,1.64274090531927
"RW372",-1.85052757773784,-3.43597729653094,-0.897433397391506,1.30778288563806,-1.08717316021369
"RW373",-2.29879088942083,3.84190891065839,-5.78959133162121,0.310926652654897,-0.213899217127662
"R37J161",2.33753361949123,-2.21646913574544,-1.02187512774244,-0.345984331605531,-1.15191155702543
"R37J162",-4.6110484444407,-0.13118653897297,1.58748626458055,-5.17143455179804,1.48924020861157
"R37J163",4.59137566271292,-0.165488324975001,0.00996815998373962,-0.918796460363246,2.48272271330158
