"","Axis1","Axis2","Axis3","Axis4","Axis5"
"CK1",-5.37310111176445,-9.51582215232831,-2.07836773446827,14.7873204565536,-1.40835592855154
"CK2",-5.89544178606272,-20.9033488180311,1.16690496144665,-8.86606878238502,-2.97053349279348
"CK3",-7.24212177807497,-0.449052938422032,2.41315220750729,4.65481603019887,7.12596845142326
"JXBR161",16.4625528797522,2.52488004342037,-8.4172872006265,1.18269055958348,-11.3571053942138
"JXBR162",21.3459898451839,-2.81510028714826,-6.69399968418083,-2.00789233307656,12.0169190895404
"JXBR163",18.5615870657066,1.61742988407623,15.4951721335982,1.14622049741373,-2.40956566935089
"RW371",-8.33886548711302,6.48226939342578,-1.36667290946051,-0.322672416823752,-0.190522759413132
"RW372",-5.39886482339823,5.97309485148285,-3.32507686964824,-3.53137190096306,-0.424902264846699
"RW373",-4.40086670581375,4.46046900270234,-0.701559414836328,-1.45186824434577,-2.03129873661612
"R37J161",-6.91307306003483,4.16567027328493,2.11396093925702,-1.65903228318861,0.809898408398314
"R37J162",-7.40917372913747,4.33366954167512,1.62323981622069,-1.07783178917802,0.489728503191611
"R37J163",-5.39862130924333,4.12584120586206,-0.229466244809126,-2.85430979378884,0.349769793232069
