"","CCA1","CCA2"
"CK1",0.0991160587315293,0.678125535605241
"CK2",-0.252914486500897,1.73047058962714
"CK3",-0.26066157597619,1.44609968172249
"JXBR161",-0.386473121944439,-0.641905189754732
"JXBR162",-0.263893533835688,-0.772275734056063
"JXBR163",-0.708557316224696,-1.2068376133972
"RW371",0.0360547542783142,0.975250913769052
"RW372",-0.221095604063865,0.955550763320257
"RW373",3.67188189938649,-0.521115387241856
"R37J161",-0.210151006957728,-0.172090947358511
"R37J162",0.357283299928268,-0.406280935842945
"R37J163",-0.610754028466714,-1.07005538707569
