"","RDA1","RDA2"
"CK1",-4.73102310866498,5.1227700298923
"CK2",-2.84601375672889,0.18918447489759
"CK3",-1.16872784548729,-0.564889099072466
"JXBR161",0.306008530673818,-0.415504245728096
"JXBR162",0.338335341209381,-0.927796944141879
"JXBR163",0.0338042807825616,-0.810463013374198
"RW371",0.309550634089745,-1.56947093215151
"RW372",0.991334078146931,-2.10133988346357
"RW373",0.0217619733870503,-2.62297755471904
"R37J161",0.295076172722825,-0.310842888559236
"R37J162",5.74976503463867,4.85413749935045
"R37J163",0.700128665230189,-0.842807442930339
