#Length	Count
398	42
384	132
276	1
443	25
386	89
331	520
358	656
407	1605
445	881
376	355
366	207
329	107
272	1
437	1223
463	3
298	25
458	6
424	12
368	1091
400	511
451	5
454	2
316	3
313	40
395	2111
343	2685
468	5
287	1
347	722
475	2
441	76
294	2
413	57
397	388
434	78
349	1381
275	10
325	15
378	858
350	1158
291	1
374	241
442	35
429	28
431	25
382	306
337	5658
321	2
459	18
409	22
432	80
284	13
340	3534
311	185
371	80
289	1
346	269
389	142
435	67
327	51
427	41
401	705
333	1117
339	4923
280	4
418	360
273	2
471	11
465	21
361	496
348	9081
345	316
319	4
285	5
404	12
412	19
385	20
446	46
282	123
307	3
420	3
352	891
344	316
388	1340
364	341
355	3084
426	14
369	72
326	108
279	1
448	14
367	469
483	3
357	2662
335	1725
372	242
391	11
428	19
455	13
288	15
336	2368
460	8
324	2
457	4
453	45
383	25
433	2847
351	1399
410	10
297	17
359	3393
334	1702
440	1247
277	3
377	174
430	82
447	27
379	1342
462	9
414	22
477	18
423	13
415	869
452	4
342	9287
330	72
295	123
341	5315
394	132
480	14
438	1034
360	581
467	94
481	3
474	13
419	55
444	122
422	27
304	2
476	1
406	83
417	51
396	942
482	2
302	21
312	482
393	34
405	24
449	9
293	3
274	1
365	114
306	1
370	96
309	7
470	6
322	18
469	10
315	2
402	53
353	4026
375	6594
416	13
338	1169
380	596
300	57
403	119
466	39
286	6
283	5
310	6
484	4
303	17
381	2361
308	1
421	133
392	20
450	5
278	29
271	1
373	75
387	73
328	133
269	11
281	5
464	16
363	1572
354	25125
461	8
318	65
399	85
301	43
436	186
390	53
332	605
425	7
456	5
408	48
356	2107
439	6750
362	1080
317	19
296	42
411	19
478	5
