per_sample	CK	JXBR16	R37J16	RW37
10	9.1	6.8	8.4	8.5	
4473	879.1	638.9	769.2	566	
8936	1398.7	1018.5	1231	849.3	
13399	1819.6	1348.7	1604.8	1111.7	
17862	2200.2	1647.1	1910.8	1328.5	
22325	2533.9	1925.1	2219.3	1510.7	
26788	2853.4	2173.4	2488.2	1704.1	
31251	3133.5	2412.5	2759.2	1868.6	
35714	3417.3	2614.9	2992.3	2006.7	
40177	3644.8	2846	3235.4	2155.2	
44640	3887.5	3075.7	3467.1	2299	
