"","RDA1","RDA2"
"CK1",-0.255032418539081,2.6666527538545
"CK2",-0.817600636164567,3.70578738667247
"CK3",-0.667258694445249,1.8602939467376
"JXBR161",3.50123877221601,-1.71488446896426
"JXBR162",2.33178313263392,-0.510618176976014
"JXBR163",3.32385587128072,-1.00754472317027
"RW371",-1.3997767801916,0.234857985182992
"RW372",-0.265472917361754,0.353792404938344
"RW373",-0.24714948436825,-0.650693196139507
"R37J161",-1.3221564400473,-0.272276515357209
"R37J162",-3.46008659425198,-4.07839982958515
"R37J163",-0.722343810760864,-0.58696756719352
