OTU	Test.Statistic	P	FDR.P	Bonferroni.P	CK.mean	RW37.mean	JXBR16.mean	R37J16.mean
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Rhizophydiales	10.3846	0.0156	0.6386	1	0.0012	0.0118	2e-04	0.004
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Rhizophlyctidales	10.1729	0.0172	0.6386	1	0	4e-04	0	2e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreomycetidae_ord_Incertae_sedis	9.0513	0.0286	0.6386	1	4e-04	0	5e-04	1e-04
k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Septobasidiales	8.6042	0.035	0.6386	1	1e-04	0	0	0
k__Plantae;p__;c__;o__	8.4359	0.0378	0.6386	1	0.0239	0.0131	4e-04	3e-04
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales	8.3333	0.0396	0.6386	1	3e-04	0.0011	0.0077	0.0323
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales	7.5128	0.0572	0.6386	1	9e-04	0.0013	0.0022	0.0102
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Phallales	7.429	0.0594	0.6386	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales	7.1955	0.0659	0.6386	1	0	0	0	1e-04
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales	7.0513	0.0703	0.6386	1	0.0048	0.0032	0.0091	0.0117
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Jahnulales	6.883	0.0757	0.6386	1	2e-04	1e-04	1e-04	7e-04
k__;p__;c__;o__	6.8462	0.077	0.6386	1	7e-04	0.0017	2e-04	0.0011
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	6.7949	0.0787	0.6386	1	0.0069	0.005	0.0296	0.0154
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales	6.5897	0.0862	0.6386	1	7e-04	0.0055	7e-04	3e-04
k__Fungi;p__Rozellomycota;c__;o__	6.5897	0.0862	0.6386	1	8e-04	6e-04	6e-04	0.0063
