OTU	Test.Statistic	P	FDR.P	Bonferroni.P	CK.mean	RW37.mean	JXBR16.mean	R37J16.mean
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes	9.4615	0.0237	0.5148	1	0.0038	0.0145	6e-04	0.0051
k__Fungi;p__Basidiomycota;c__Pucciniomycetes	8.6042	0.035	0.5148	1	1e-04	0	0	0
k__Plantae;p__;c__	8.4359	0.0378	0.5148	1	0.0239	0.0131	4e-04	3e-04
k__Fungi;p__Basidiomycota;c__Tremellomycetes	8.3333	0.0396	0.5148	1	0.0078	0.0064	0.0318	0.0257
k__;p__;c__	6.8462	0.077	0.5393	1	7e-04	0.0017	2e-04	0.0011
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes	6.5897	0.0862	0.5393	1	7e-04	0.0055	7e-04	3e-04
k__Fungi;p__Rozellomycota;c__	6.5897	0.0862	0.5393	1	8e-04	6e-04	6e-04	0.0063
k__Fungi;p__Neocallimastigomycota;c__Neocallimastigomycetes	6.5455	0.0879	0.5393	1	0	0	0	0
k__Fungi;p__Basidiomycota;c__Atractiellomycetes	6.4087	0.0933	0.5393	1	0	0	0	3e-04
k__Fungi;p__Glomeromycota;c__Glomeromycetes	5.6667	0.129	0.5603	1	0.0044	0.0017	8e-04	8e-04
k__Fungi;p__;c__	5.6154	0.1319	0.5603	1	0.0403	0.0312	0.0181	0.0495
k__Fungi;p__Glomeromycota;c__	5.5193	0.1375	0.5603	1	6e-04	0	0	1e-04
k__Fungi;p__Ascomycota;c__Eurotiomycetes	5.2051	0.1574	0.5603	1	0.3408	0.1373	0.5516	0.3663
k__Fungi;p__Ascomycota;c__Lecanoromycetes	5.0513	0.1681	0.5603	1	3e-04	1e-04	1e-04	6e-04
k__Fungi;p__Ascomycota;c__Laboulbeniomycetes	4.992	0.1724	0.5603	1	0	0	0	0
k__Protista;p__;c__	4.992	0.1724	0.5603	1	0	2e-04	0	0
k__Plantae;p__Chlorophyta;c__	4.8462	0.1834	0.561	1	0.0027	0.0033	5e-04	0.002
k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis	4.5897	0.2044	0.5772	1	0.0099	0.0221	0.0137	0.0244
k__Fungi;p__Basidiomycota;c__Microbotryomycetes	4.5158	0.2109	0.5772	1	0	0	3e-04	2e-04
k__Fungi;p__Basidiomycota;c__Ustilaginomycotina_cls_Incertae_sedis	4.218	0.2389	0.621	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Saccharomycetes	3.9744	0.2642	0.6305	1	3e-04	4e-04	1e-04	6e-04
k__Fungi;p__Chytridiomycota;c__	3.8205	0.2815	0.6305	1	3e-04	4e-04	4e-04	1e-04
k__Fungi;p__Ascomycota;c__Arthoniomycetes	3.7211	0.2932	0.6305	1	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes	3.6268	0.3047	0.6305	1	0	0	0	2e-04
k__Fungi;p__Ascomycota;c__Lichinomycetes	3.4586	0.3262	0.6305	1	0	5e-04	3e-04	2e-04
k__Fungi;p__Ascomycota;c__	3.3077	0.3466	0.6305	1	0.0389	0.0516	0.0186	0.0424
k__Fungi;p__Ascomycota;c__Neolectomycetes	3.1766	0.3652	0.6305	1	0	0	1e-04	0
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes	3	0.3916	0.6305	1	1e-04	0	0	0
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes	3	0.3916	0.6305	1	0	0	0	0
k__Fungi;p__Chytridiomycota;c__Blastocladiomycetes	3	0.3916	0.6305	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes	2.9487	0.3996	0.6305	1	0.2557	0.4124	0.1525	0.222
k__Fungi;p__Ascomycota;c__Orbiliomycetes	2.8974	0.4077	0.6305	1	0.0059	0.0013	0.0019	0.0053
k__Fungi;p__Basidiomycota;c__Exobasidiomycetes	2.8974	0.4077	0.6305	1	4e-04	2e-04	2e-04	3e-04
k__Protozoa;p__;c__	2.8377	0.4173	0.6305	1	0	0	0	0
No blast hit;Other;Other	2.7949	0.4243	0.6305	1	0.0028	0.0018	0.0014	0.0022
k__Protista;p__Cercozoa;c__	2.5897	0.4593	0.6616	1	3e-04	5e-04	3e-04	3e-04
k__Fungi;p__Ascomycota;c__Pezizomycetes	2.4872	0.4776	0.6616	1	0.001	0.0036	0.0012	0.0014
k__Fungi;p__Basidiomycota;c__Wallemiomycetes	2.4551	0.4835	0.6616	1	0	0.0013	0	0
k__Fungi;p__Basidiomycota;c__Entorrhizomycetes	2.2121	0.5296	0.6688	1	0	0	0	0
k__Fungi;p__Zygomycota;c__	2.2121	0.5296	0.6688	1	0	0	0	0
k__Fungi;p__Zygomycota;c__Zoopagomycotina_cls_Incertae_sedis	2.2121	0.5296	0.6688	1	0	0	0	0
k__Fungi;p__Zygomycota;c__Kickxellomycotina_cls_Incertae_sedis	2.1584	0.5402	0.6688	1	1e-04	1e-04	0	1e-04
k__Fungi;p__Zygomycota;c__Mucoromycotina_cls_Incertae_sedis	2.0769	0.5566	0.6731	1	0.0101	0.0078	0.0195	0.0187
k__Fungi;p__Ascomycota;c__Dothideomycetes	1.5641	0.6676	0.77	1	0.0655	0.0701	0.0396	0.0774
k__Fungi;p__Ascomycota;c__Leotiomycetes	1.5641	0.6676	0.77	1	0.0356	0.025	0.0166	0.0219
k__Fungi;p__Basidiomycota;c__Dacrymycetes	1.5046	0.6812	0.77	1	0	0	0	0
k__Protista;p__Ciliophora;c__	1.359	0.7152	0.7913	1	0.0122	0.0356	0.0152	0.0188
k__Fungi;p__Basidiomycota;c__Agaricomycetes	1.1538	0.7641	0.8278	1	0.1153	0.0899	0.0828	0.0679
k__Fungi;p__Zygomycota;c__Mortierellomycotina_cls_Incertae_sedis	0.8974	0.826	0.8766	1	0.0181	0.0591	0.0298	0.0372
k__Fungi;p__Chytridiomycota;c__Monoblepharidomycetes	0.7436	0.8629	0.8974	1	2e-04	1e-04	0	1e-04
k__Fungi;p__Basidiomycota;c__	0.651	0.8847	0.902	1	1e-04	6e-04	1e-04	1e-04
