OTU	Test.Statistic	P	FDR.P	Bonferroni.P	CK.mean	RW37.mean	JXBR16.mean	R37J16.mean
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Rhizophlyctidales;f__Rhizophlyctidaceae	10.1729	0.0172	0.647	1	0	4e-04	0	2e-04
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Sarcosomataceae	9.3119	0.0254	0.647	1	3e-04	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae	9.1805	0.027	0.647	1	0	0	5e-04	1e-04
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariales_fam_Incertae_sedis	9.0757	0.0283	0.647	1	0	0	0.004	0.0174
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreomycetidae_ord_Incertae_sedis;f__Plectosphaerellaceae	9.0513	0.0286	0.647	1	4e-04	0	5e-04	1e-04
k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Septobasidiales;f__Septobasidiaceae	8.6042	0.035	0.647	1	1e-04	0	0	0
k__Plantae;p__;c__;o__;f__	8.4359	0.0378	0.647	1	0.0239	0.0131	4e-04	3e-04
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae	8.1942	0.0422	0.647	1	0	0	0	0.0032
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiaceae	7.5128	0.0572	0.647	1	9e-04	0.0013	0.0022	0.0102
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiomycetes_ord_Incertae_sedis;f__Leotiomycetes_fam_Incertae_sedis	7.429	0.0594	0.647	1	4e-04	0	1e-04	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Phallales;f__Phallaceae	7.429	0.0594	0.647	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae	7.3772	0.0608	0.647	1	1e-04	0	0	0
k__Fungi;p__Zygomycota;c__Mucoromycotina_cls_Incertae_sedis;o__Mucorales;f__Rhizopodaceae	7.2377	0.0647	0.647	1	1e-04	0	0	0
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Physciaceae	6.9389	0.0739	0.647	1	0	0	0	1e-04
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	6.8974	0.0752	0.647	1	1e-04	0.0012	1e-04	2e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae	6.8974	0.0752	0.647	1	6e-04	0.0014	0.0012	0.0043
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__	6.8974	0.0752	0.647	1	3e-04	0.0011	0.0037	0.015
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Jahnulales;f__Aliquandostipitaceae	6.883	0.0757	0.647	1	2e-04	1e-04	1e-04	7e-04
k__;p__;c__;o__;f__	6.8462	0.077	0.647	1	7e-04	0.0017	2e-04	0.0011
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae	6.8058	0.0784	0.647	1	0.0079	0	1e-04	4e-04
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis	6.7949	0.0787	0.647	1	0.0068	0.005	0.0296	0.0154
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriaceae	6.5897	0.0862	0.647	1	5e-04	1e-04	1e-04	1e-04
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Melanotaeniaceae	6.5897	0.0862	0.647	1	7e-04	0.0055	7e-04	3e-04
k__Fungi;p__Rozellomycota;c__;o__;f__	6.5897	0.0862	0.647	1	8e-04	6e-04	6e-04	0.0063
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae	6.5455	0.0879	0.647	1	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae	6.5455	0.0879	0.647	1	0	1e-04	0	0
k__Fungi;p__Neocallimastigomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae	6.5455	0.0879	0.647	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Ophiostomatales;f__Ophiostomataceae	6.5272	0.0886	0.647	1	1e-04	0	0	1e-04
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae	6.4087	0.0933	0.647	1	0.0042	0	0	0
k__Fungi;p__Basidiomycota;c__Atractiellomycetes;o__Atractiellales;f__	6.4087	0.0933	0.647	1	0	0	0	3e-04
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Candelariales;f__Candelariaceae	6.2812	0.0987	0.647	1	0	0	0	1e-04
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Coniophoraceae	6.2812	0.0987	0.647	1	0	0	0	3e-04
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__	6.2812	0.0987	0.647	1	0	0	0	1e-04
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae	6.1795	0.1032	0.647	1	0.0047	0.0029	0.0085	0.0091
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae	6.1795	0.1032	0.647	1	0.001	0.0221	5e-04	3e-04
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Trichomonascaceae	6.0927	0.1072	0.647	1	0	0	0	1e-04
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales;f__	6.0854	0.1075	0.647	1	0.0019	0	0	2e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__	6.0769	0.1079	0.647	1	0.0304	0.0073	0.0052	0.0037
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__	5.9744	0.1129	0.647	1	0.0011	3e-04	5e-04	0.0039
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__;f__	5.7692	0.1234	0.647	1	0.0245	0.0092	0.0073	0.0176
k__Fungi;p__;c__;o__;f__	5.6154	0.1319	0.647	1	0.0403	0.0312	0.0181	0.0495
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis	5.6154	0.1319	0.647	1	0.0031	6e-04	6e-04	0.0021
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae	5.5399	0.1363	0.647	1	7e-04	0	0	0
k__Fungi;p__Glomeromycota;c__;o__;f__	5.5193	0.1375	0.647	1	6e-04	0	0	1e-04
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae	5.5182	0.1376	0.647	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Eremotheciaceae	5.3003	0.1511	0.647	1	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae	5.3003	0.1511	0.647	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae	5.2051	0.1574	0.647	1	0.2938	0.1017	0.5243	0.3163
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae	5.2051	0.1574	0.647	1	0.0064	0.0061	9e-04	6e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Pyriculariaceae	5.1944	0.1581	0.647	1	0	3e-04	1e-04	2e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae	5.1538	0.1609	0.647	1	0.0068	0.0061	0.0117	0.0024
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleomassariaceae	5.0513	0.1681	0.647	1	0.0026	0.0015	5e-04	0.0051
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Elaphomycetaceae	4.992	0.1724	0.647	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__Laboulbeniales;f__Herpomycetaceae	4.992	0.1724	0.647	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae	4.992	0.1724	0.647	1	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae	4.992	0.1724	0.647	1	6e-04	0	0	0
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales;f__Endochytriaceae	4.992	0.1724	0.647	1	0	0	0	0
k__Protista;p__;c__;o__;f__	4.992	0.1724	0.647	1	0	2e-04	0	0
k__Fungi;p__Zygomycota;c__Kickxellomycotina_cls_Incertae_sedis;o__Kickxellales;f__Kickxellaceae	4.9155	0.1781	0.647	1	1e-04	0	0	1e-04
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae	4.9149	0.1781	0.647	1	1e-04	0	0	1e-04
