OTU	Test.Statistic	P	FDR.P	Bonferroni.P	CK.mean	RW37.mean	JXBR16.mean	R37J16.mean
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinales_Group_B;g__	7.2051	0.0656	0.5976	1	0.0245	2e-04	0.0083	0.0048
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Arnium	7.1026	0.0687	0.5976	1	0.0145	2e-04	0.0014	0.001
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__;g__	6.8974	0.0752	0.5976	1	3e-04	0.0011	0.0037	0.015
k__;p__;c__;o__;f__;g__	6.8462	0.077	0.5976	1	7e-04	0.0017	2e-04	0.0011
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis;g__Cryptococcus	6.7949	0.0787	0.5976	1	0.0066	0.005	0.0295	0.0152
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Exserohilum	6.698	0.0822	0.5976	1	1e-04	4e-04	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriaceae;g__Cyphellophora	6.5897	0.0862	0.5976	1	5e-04	1e-04	1e-04	1e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__Neurospora	6.5897	0.0862	0.5976	1	6e-04	0.0014	0.0011	0.0043
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Melanotaeniaceae;g__Melanotaenium	6.5897	0.0862	0.5976	1	7e-04	0.0055	7e-04	3e-04
k__Fungi;p__Rozellomycota;c__;o__;f__;g__	6.5897	0.0862	0.5976	1	8e-04	6e-04	6e-04	0.0063
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae;g__Acanthostigma	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Ajellomycetaceae;g__	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariaceae;g__Dermatocarpon	6.5455	0.0879	0.5976	1	0	0	0	0
