	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_30520_3.txt	30520	3	24366.7533632	21251.9593679	19490.2658228	23163.2655246	15111.8006993	21673.5429769	16466.5893665	20042.2368421	27983.8459658	23162.7619477	23233.946976	17174.0498688
alpha_rarefaction_30520_4.txt	30520	4	22910.6797477	22799.2846034	18426.5794872	23551.1684665	15105.2441016	21659.080085	17226.5915493	18706.3607011	26414.4813953	23319.9649281	22568.4962841	17884.2606383
alpha_rarefaction_30520_5.txt	30520	5	23961.4881832	21211.9451637	18454.6891192	23395.971831	14924.6244579	21933.5790583	15404.8811341	18422.7998111	26932.8393543	23766.1791855	22216.5074013	17457.1087533
alpha_rarefaction_30520_6.txt	30520	6	23929.2021978	22777.4170654	18552.8543607	22260.7854167	14861.2199282	22584.5108696	17371.1248514	19146.5421209	27858.6333866	24370.7397388	23174.0478261	17296.1381974
alpha_rarefaction_30520_7.txt	30520	7	24804.8983051	22473.5115385	18686.3140917	22042.780083	14548.000846	21421.8319502	17048.2215777	18878.3247525	27074.8647381	21982.5938303	22941.0834028	17981.6651786
alpha_rarefaction_30520_8.txt	30520	8	24614.5056433	21406.7871854	19177.9464286	22796.5788367	14399.457539	22299.5007215	15438.6461538	19017.289597	27465.8905166	22594.8894879	22425.1621175	17463.1815039
alpha_rarefaction_30520_9.txt	30520	9	24277.130719	22423.9609793	19738.6891892	23629.8763402	14845.5320856	21449.1666667	16815.5331781	18752.0271003	28086.1067881	22266.8198971	23318.1152229	17011.035503
alpha_rarefaction_40690_0.txt	40690	0	27132.1944121	25471.3572791	21576.0774749	25807.0303365	16865.3583273	23428.4331897	18814.5955056	22308.3155834	30267.0192423	26198.4914442	25546.6643041	20210.2536127
alpha_rarefaction_40690_1.txt	40690	1	26307.4651294	24207.0714286	21767.147376	25793.7798507	16647.2910663	23629.0054171	18633.9093357	22084.946677	31846.8026565	27597.7767204	25743.9164474	19884.5101612
alpha_rarefaction_40690_2.txt	40690	2	26351.8125	24685.9744352	21678.5645833	25216.5585586	16454.7424242	23253.6341853	19377.8264151	21809.121547	30668.0169082	26117.1319444	25871.7161804	19856.1807229
alpha_rarefaction_40690_3.txt	40690	3	26389.852826	25215.8887545	22516.0454218	25841.2361485	16754.221831	23317.8903888	18719.3480663	21984.9066667	29532.6793478	26248.6942496	24805.2066832	19224.2848146
alpha_rarefaction_40690_4.txt	40690	4	26390.3121547	24348.1743836	22490.6736011	25310.6965042	16619.5451977	23653.7556391	17887.0826087	22418.8147287	29956.6065766	26943.8516643	25224.6533417	19064.2554795
alpha_rarefaction_40690_5.txt	40690	5	27580.255132	24806.569504	22967.1343964	25598.9930925	16437.7787743	23084.0539568	18238.4513274	21334.3856707	30685.0801205	26446.7006325	25552.9248072	19522.4612188
alpha_rarefaction_40690_6.txt	40690	6	26138.0649496	25267.8394296	22040.0156483	24414.3199583	16511.575	24348.0743392	18699.9383625	21296.0726464	30117.0804322	26472.5974755	25634.1900192	19631.5866035
alpha_rarefaction_40690_7.txt	40690	7	26905.9535284	24399.6716867	21634.4961349	25786.6573505	16635.2131617	23741.4567229	18620.0384615	21958.8886293	30468.3083434	25978.0020877	25016.3622351	19764.3378378
alpha_rarefaction_40690_8.txt	40690	8	26520.4820513	24460.2382104	21592.263839	25019.3475216	16824.9205776	23583.4408828	19058.0295238	21552.265745	31484.7887324	26427.4763948	26163.1780645	20064.2755102
alpha_rarefaction_40690_9.txt	40690	9	26388.4053137	25075.1030928	21832.8799425	25435.370942	17275.4583333	22652.2496108	18278.6175943	22005.0242188	30854.8765432	26678.1601976	24888.9796438	20214.7117182
