#Base	Mean
1	27.661863887185774
2	32.175122624156955
3	29.9773911710607
4	30.088258736971184
5	30.32843347639485
6	34.101916002452484
7	29.773605150214593
8	33.31279889638259
9	34.73767627222563
10	34.31618638871858
11	31.772041692213367
12	31.63304721030043
13	35.93859595340282
14	31.465542611894545
15	36.58973022685469
16	31.812124463519314
17	30.81226241569589
18	32.62944512568976
19	35.68203556100552
20	33.1956774984672
21	36.9040925812385
22	30.44307173513182
23	35.980594727161254
24	37.33700183936235
25	38.31266094420601
26	35.38390557939914
27	33.06272225628449
28	35.391002452483136
29	32.27133660331085
30	35.36506744328633
31	36.597179644389946
32	37.3767014101778
33	32.442811158798285
34	31.881284488044145
35	31.650674432863273
36	32.37302268546904
37	33.62171980380135
38	36.141278356836295
39	36.41155732679338
40	38.070646842427955
41	38.196060698957695
42	38.59871244635193
43	33.32702329858982
44	35.90974862047823
45	34.825214592274676
46	37.58726241569589
47	33.48830472103004
48	37.073988350705086
49	38.156376456161865
50	37.50430717351318
51	37.30085836909871
52	36.976517473942366
53	35.563458001226245
54	32.467673206621704
55	32.84773145309626
56	35.06152667075414
57	31.854291845493563
58	35.40777130594727
59	31.809671980380134
60	34.76160331085224
61	37.20723482526058
62	32.44782342121398
63	34.28589822194972
64	32.03871857755978
65	35.23539239730227
66	31.271873083997548
67	35.341600245248316
68	35.269405272838746
69	34.4548589822195
70	34.27087676272225
71	32.97191906805641
72	36.17774371551196
73	37.313979153893314
74	38.02057020232986
75	38.28741569589209
76	34.13119251992642
77	36.875659104843656
78	37.88942366646229
79	37.12792765174739
80	37.007526057633356
81	34.54209074187615
82	36.060652973635804
83	36.34055793991416
84	37.71730533415083
85	35.505211526670756
86	37.087982832618025
87	36.297409564684244
88	33.766753525444514
89	35.17427958307787
90	34.16848559166156
91	33.54132434089516
92	32.12132127529123
93	34.98784488044145
94	34.99463519313305
95	37.40116492949111
96	37.14750153280196
97	38.35220723482526
98	38.56158798283262
99	35.654046597179644
100	37.5543991416309
101	28.55332618025751
102	36.07378908645003
103	36.69215205395463
104	37.16877682403433
105	37.19025137952177
106	37.72096873083998
107	34.50041385652974
108	37.39448191293685
109	37.11439301042305
110	37.62765174739424
111	36.521781115879826
112	36.379797670141016
113	36.18617412630288
114	36.425321888412014
115	37.51681483752299
116	37.398482526057634
117	37.758736971183325
118	37.858169834457385
119	36.48427345187002
120	37.23775291232373
121	37.40335683629675
122	37.78916309012875
123	37.81591048436542
124	37.88628142244022
125	38.11808706315144
126	38.299524831391786
127	38.4017780502759
128	37.77691600245248
129	37.83933169834457
130	37.6999233599019
131	37.70317290006131
132	37.745018393623546
133	38.13868792152054
134	38.10343347639485
135	37.57354383813611
136	37.70341814837523
137	37.73116186388719
138	37.34046597179644
139	37.746980380134886
140	37.50147148988351
141	36.44996934396076
142	37.471351931330474
143	37.54426732066217
144	37.6843347639485
145	37.59541692213366
146	37.70731146535868
147	37.198145309626
148	37.21773451870018
149	37.118102391171064
150	37.55797057020233
151	37.446673819742486
152	37.63180564071122
153	37.59195278969957
154	37.35278969957081
155	37.04990803188228
156	37.32720723482526
157	37.000643776824035
158	36.93508583690987
159	37.0616492949111
160	36.912093807480076
161	37.35010729613734
162	37.435652973635804
163	37.151885346413245
164	36.669895769466585
165	37.11166462293072
166	37.24411404046597
167	37.7819435928878
168	37.94822194972409
169	37.55749540159412
170	36.56423973022685
171	37.08192826486818
172	37.10370938074801
173	37.799862047823424
174	37.82171980380135
175	37.78732372777437
176	37.58182096873084
177	37.541630901287554
178	37.607081545064375
179	37.70297363580625
180	37.610744941753524
181	36.87513795217658
182	37.24141630901288
183	37.519068056407114
184	37.43074800735745
185	37.275306560392394
186	37.450766400980996
187	37.51434702636419
188	37.46184855916616
189	37.76520539546291
190	37.26278356836297
191	37.42651747394237
192	37.45921213979154
193	37.58525444512569
194	37.66929797670141
195	37.61847026364194
196	37.25393930104231
197	37.55205395462906
198	37.489438994481915
199	37.48343041079092
200	37.21391784181484
201	36.95275904353158
202	36.97946045370938
203	36.740389331698346
204	36.99719497240957
205	36.94038933169834
206	37.4565603923973
207	37.45576333537707
208	37.36684549356223
209	37.32904659717965
210	37.40715818516248
211	37.102329858982216
212	37.128908645003065
213	37.441232372777435
214	37.60278969957081
215	36.925950337216435
216	37.44492642550583
217	37.51587982832618
218	37.62388105456775
219	37.5856529736358
220	37.66109748620478
221	37.3311005518087
222	36.00675965665236
223	37.08373697118332
224	37.064408338442675
225	37.26400980993256
226	37.25012262415696
227	37.2067903126916
228	37.078126916002454
229	37.642565910484365
230	37.55752605763335
231	37.614837522992026
232	37.23502452483139
233	37.201916002452485
234	37.100567136725935
235	37.543669527896995
236	37.44481912936848
237	37.319849785407726
238	37.26916002452483
239	36.63940833844267
240	37.00228387492336
241	36.98870324954016
242	36.90617719190681
243	36.9133507050889
244	37.125567136725934
245	37.22342121397915
246	37.35832311465359
247	37.24198344573881
248	37.50843041079093
249	37.440082771305946
250	37.15908951563458
251	34.67475475168608
252	34.77400367872471
253	35.11448497854077
254	34.78119251992643
255	34.830242182709995
256	35.06729000613121
257	35.31042305334151
258	34.747240956468424
259	34.26515941140405
260	34.70203862660944
261	35.78370631514408
262	35.207280809319435
263	34.226502145922744
264	34.10557939914163
265	34.299601471489886
266	33.916261745275065
267	34.84280633986327
268	34.820978570771636
269	34.776832520923385
270	34.31913915202796
271	35.00081240994513
272	35.24881585603262
273	34.868050339531244
274	35.69368609837976
275	35.31945061851403
276	35.36870506354341
277	35.53559711789054
278	34.979441344208006
279	34.54982675620151
280	35.81144022322387
281	35.487978041524826
282	34.92933924217564
283	35.75355871886121
284	35.556782963576666
285	35.539792865362486
286	35.59450709627925
287	35.359846566935175
