"","RDA1","RDA2"
"CK1",-7.42589185746337,6.51571879078141
"CK2",-8.18986603999899,8.85532973179393
"CK3",-3.70608375464769,0.527615018685537
"JXBR161",16.3902842826425,-19.390650451877
"JXBR162",9.79020312434745,-0.709837038908909
"JXBR163",20.1757443700479,18.4985468903628
"RW371",-5.31719389628563,1.48436859376967
"RW372",-2.1835121608531,-3.10946679129415
"RW373",-4.79089577545548,-12.8027878344179
"R37J161",-6.63677842153378,1.25840625277971
"R37J162",-6.17523699971008,1.09005604471428
"R37J163",-1.93077287108182,-2.21729920638129
