"","Axis1","Axis2","Axis3","Axis4","Axis5"
"CK1",-3.73843565807691,-6.95934795239799,-6.569143234143,0.876838357162968,-5.74166413445571
"CK2",-4.71843933334226,-16.0156913738902,4.38289546633714,2.21254376451905,3.02612193132522
"CK3",-5.14963235347785,-0.0449121022531824,1.58626441160814,-7.52698188850857,-6.51668745588018
"JXBR161",14.260143308808,2.04432594221896,0.733970594819997,8.16234579295087,-5.25037373062417
"JXBR162",15.1148185108105,-2.90635282107989,-7.0034740715233,-4.72286425349749,4.9006995282283
"JXBR163",11.5017949401583,1.39720489930675,8.2971745584333,-4.00123738680791,0.210611897787718
"RW371",-5.03639105315361,5.77959637808583,-1.51611593146096,-0.390037967175703,0.502316279891616
"RW372",-3.97267013088118,3.93035821674178,-1.32597753302433,0.374666261558008,2.6666073545766
"RW373",-3.77760542733119,3.60384652415614,-0.457096349120803,1.99238044134451,1.51652469013929
"R37J161",-4.75975968092826,3.23282228374716,1.49930235702201,-0.699806347414223,-0.814350774443394
"R37J162",-5.55570321302019,3.34146455069769,1.22108905162017,3.45857799885936,3.21979253759646
"R37J163",-4.16811990956532,2.59668545466695,-0.84888932056838,0.263575227009128,2.28040187585826
