"","Axis1","Axis2","Axis3","Axis4","Axis5"
"CK1",-1.83343744486384,-2.8946989698297,2.06905008497907,0.165848428597765,0.0996684721541012
"CK2",1.10679429889245,-0.68915951905307,-0.730555074234719,0.535504824479855,-0.198706989887176
"CK3",1.58037752681273,-0.40640554570277,-0.15726901702032,-1.19337253071194,0.740796447602224
"JXBR161",-1.39521500686128,-0.0903041245579947,0.716902349640996,-0.643902155258608,-1.04856578729308
"JXBR162",1.08018195458986,0.64390271300519,0.427462918034569,-2.44874659475128,0.422409186080648
"JXBR163",2.23221473713242,-0.23980384921339,1.20281977269895,-0.554335265372571,-0.576846411835775
"RW371",-2.71718603238741,-1.35329472364829,-0.771082310297768,1.02295564841636,-0.135756592364128
"RW372",-3.11416483825467,0.790176893107259,-2.67542361641591,-1.20486831842919,0.0479279576758541
"RW373",2.41486961516671,-0.157500297194893,-2.14896321522982,1.09333807853142,-0.790223967904686
"R37J161",-1.93326835938177,3.00214522409406,1.42304067123635,1.03977445561733,0.933328502048235
"R37J162",1.74401640676943,-0.423546944270892,-0.35173794478814,1.26742737258428,1.83784506485699
"R37J163",0.834817142385366,1.81848914326449,0.995755381396744,0.920376056296593,-1.3318758811332
