	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_17862_1.txt	17862	1	2117.0	1627.0	1732.0	1811.0	1431.0	1209.0	1619.0	2012.0	337.0	1837.0	1633.0	1354.0
alpha_rarefaction_17862_2.txt	17862	2	2076.0	1642.0	1764.0	1770.0	1462.0	1226.0	1648.0	1902.0	334.0	1803.0	1596.0	1369.0
alpha_rarefaction_17862_3.txt	17862	3	2096.0	1685.0	1755.0	1790.0	1450.0	1220.0	1660.0	1993.0	333.0	1845.0	1619.0	1389.0
alpha_rarefaction_17862_4.txt	17862	4	2087.0	1644.0	1789.0	1799.0	1450.0	1210.0	1621.0	1966.0	330.0	1843.0	1643.0	1379.0
alpha_rarefaction_17862_5.txt	17862	5	2127.0	1616.0	1747.0	1774.0	1477.0	1217.0	1634.0	1929.0	309.0	1878.0	1599.0	1399.0
alpha_rarefaction_17862_6.txt	17862	6	2079.0	1669.0	1742.0	1785.0	1432.0	1196.0	1668.0	1934.0	341.0	1780.0	1591.0	1365.0
alpha_rarefaction_17862_7.txt	17862	7	2102.0	1638.0	1802.0	1773.0	1425.0	1226.0	1625.0	1935.0	320.0	1896.0	1629.0	1398.0
alpha_rarefaction_17862_8.txt	17862	8	2061.0	1639.0	1768.0	1807.0	1429.0	1200.0	1666.0	1974.0	327.0	1858.0	1638.0	1373.0
alpha_rarefaction_17862_9.txt	17862	9	2096.0	1631.0	1768.0	1762.0	1444.0	1251.0	1623.0	1950.0	322.0	1880.0	1607.0	1410.0
alpha_rarefaction_22325_0.txt	22325	0	2372.0	1918.0	1982.0	2072.0	1649.0	1432.0	1884.0	2206.0	367.0	2119.0	1815.0	1581.0
alpha_rarefaction_22325_1.txt	22325	1	2309.0	1863.0	1995.0	2125.0	1651.0	1446.0	1896.0	2261.0	375.0	2186.0	1834.0	1649.0
alpha_rarefaction_22325_2.txt	22325	2	2353.0	1923.0	1983.0	2067.0	1662.0	1454.0	1908.0	2246.0	359.0	2103.0	1846.0	1608.0
