"","Axis1","Axis2","Axis3","Axis4","Axis5"
"CK1",0.981676557309584,-3.20266711583381,-0.0520168869378765,4.26630949170579,-1.48718609845668
"CK2",1.20273538543357,-8.97090785954567,0.515843265278237,-1.55049786994988,0.843726602792502
"CK3",1.87517341456974,-0.906383584774769,0.690672474853853,0.275070023712305,-0.691883867660265
"JXBR161",-5.16581826568984,0.452131553671883,-0.736315248853288,1.57698104092969,3.68313497518312
"JXBR162",-7.62099290242932,-0.263871205442286,-4.89347054159608,-1.4886313319228,-2.01422704294129
"JXBR163",-6.84739969410125,1.69040969948781,5.9147071334827,-0.66493015393977,-0.693196186612041
"RW371",2.95768291322544,2.43457563380925,0.0768200320767732,1.90890756883329,-1.51707835342333
"RW372",2.55932910444269,2.33081588080732,-2.06271077325168,-0.710001044955486,-0.0652716158955538
"RW373",1.32205956135835,2.47272768153781,-0.719012082807728,0.172301594978517,-0.163825302254966
"R37J161",1.75825760393625,1.31042318595101,0.88483249993439,0.287246033146968,0.166934482773969
"R37J162",3.85407160556113,0.695785825971355,1.09051951586231,-3.3278208436103,-1.10339153325262
"R37J163",3.12322471638364,1.95696030436008,-0.709869388041599,-0.744934508928314,3.04226393974715
