"","Axis1","Axis2","Axis3","Axis4","Axis5"
"CK1",-1.51668913335662,-3.78966932084616,2.91010519114859,-0.829699135505769,-0.417093837644667
"CK2",-1.77891346172767,-11.1684010640189,0.717231125756793,0.89196686025966,1.82084304269266
"CK3",-3.87825227779829,-2.48838681732662,-2.37362903739978,-1.65277599752023,-6.80057158013905
"JXBR161",10.7076292511589,1.89098421538767,6.9637525727724,3.67310281822145,-2.05558585879026
"JXBR162",10.3420263418082,0.0848663736786172,-0.365848377579014,-7.18220720400185,2.45474986800969
"JXBR163",10.176254117852,0.496302228416981,-7.43537717482907,3.50821529359369,-0.27621147616899
"RW371",-5.15693393570907,3.68848998074287,-0.0052308299529187,-0.430499814533321,-0.0277209067902666
"RW372",-4.19476561202916,4.23612564048764,1.03607276206339,-2.03478257446856,-0.25696579692948
"RW373",-3.02341202712245,3.04610015427623,0.195570400612436,-0.367848973836527,-0.121773060882953
"R37J161",-3.53331063578247,0.660052443801846,-1.32558791095409,0.939162657583597,0.9190930729907
"R37J162",-4.85418039207388,1.34915760453626,-0.351779363449596,2.50397421877997,4.48217465705644
"R37J163",-3.28945223521942,1.99437856086351,0.0347206418108482,0.981391851427887,0.27906187659617
