"","CCA1","CCA2"
"CK1",-0.045186309500973,1.72205243100891
"CK2",0.185452439390198,1.57899097110623
"CK3",0.718785976189423,0.867281713995818
"JXBR161",-2.06551675019812,0.111919853848096
"JXBR162",-1.85470574285219,-0.858795682950376
"JXBR163",-1.10391633093021,0.429737777808018
"RW371",0.901770953470087,-0.832519742658189
"RW372",0.555584099524747,-1.69715673971739
"RW373",0.155027282308085,-0.482848826455202
"R37J161",0.592668656337635,0.183895452266925
"R37J162",1.22378676609998,0.1672263785712
"R37J163",0.709877039145288,-1.12725451278861
