"","RDA1","RDA2"
"CK1",-0.41128219911099,1.35282823947004
"CK2",-0.618793267376349,3.90104055490581
"CK3",-0.653617863285112,0.381233273062006
"JXBR161",1.7469003054904,-0.16924965785816
"JXBR162",2.79790764679194,0.383164873313445
"JXBR163",2.46538222620612,-0.626425544446905
"RW371",-1.1047092830699,-1.2251521420694
"RW372",-0.809899284637697,-1.00442015174767
"RW373",-0.372814713427252,-1.06274077473427
"R37J161",-0.61342878739814,-0.630560012036683
"R37J162",-1.39337135000997,-0.425686474241789
"R37J163",-1.03227343017305,-0.874032183616429
