"","CCA1","CCA2"
"CK1",-0.731232157739295,-2.69238917544359
"CK2",0.745827713437738,0.1925929066565
"CK3",0.81224755261797,-0.0690116285918651
"JXBR161",-0.869255404755916,-0.163811750874917
"JXBR162",0.4178125571758,0.0763684655273979
"JXBR163",0.963000785003743,-0.634348354341625
"RW371",-1.46428454878273,-0.639399605308231
"RW372",-1.66177441967083,1.56854108830209
"RW373",1.6681476857057,1.1781019553031
"R37J161",-1.16428511986757,0.82034291315082
"R37J162",0.797456551991313,-0.172304905045389
"R37J163",0.482018875349599,0.451668508422512
