"","RDA1","RDA2"
"CK1",-0.853275514057165,-1.71569766101945
"CK2",0.500566890340767,-0.518218413179935
"CK3",0.78966226978281,-0.324032277118485
"JXBR161",-0.617868964294687,0.0286505479625189
"JXBR162",0.561081553459187,0.432765382080808
"JXBR163",1.26153831322102,-0.00937026560162886
"RW371",-1.33360478219658,-0.981784756229387
"RW372",-1.75009181290692,0.157497386353115
"RW373",1.09135631612984,-0.291128490925993
"R37J161",-0.928280547086125,2.14870105879678
"R37J162",0.844772639140238,-0.273227146538195
"R37J163",0.43414363846761,1.34584463541985
